FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
20964,4328,3847,303,238,156,90619,12029,6141,303,0,39,21,158
36309,1756,1343,563,298,326,66082,3010,2022,283,196,286,43,158
18105,3914,8523,654,471,49,67319,8190,11140,659,290,233,27,158
30973,2784,10529,707,276,82,73061,4665,13024,750,147,120,40,158
19065,3837,4858,308,477,168,48817,7806,6578,276,231,152,35,158
15818,1696,2084,213,430,95,59094,3375,3651,222,148,175,28,158
24103,4290,7358,300,427,406,51515,8232,11575,429,155,354,36,158
34218,2155,11119,702,936,286,81474,3282,12192,752,765,113,45,158
35816,3026,6376,102,388,35,77276,4839,9815,451,494,186,58,158
36675,2235,2925,220,583,176,95313,6094,4624,186,500,252,32,158
11653,3606,0,139,264,141,38346,10388,0,67,85,71,24,158
24073,4402,0,19,441,295,67908,9798,278,0,236,237,25,158
19551,1902,12367,643,88,22,68359,4513,17018,713,0,0,23,158
13947,5184,0,113,586,40,29907,11467,0,31,413,9,28,158
15793,2354,10189,645,258,138,65461,6206,14593,749,32,107,21,158
40670,7135,10042,897,0,76,87674,12927,10183,579,228,240,67,158
19898,9928,4394,451,91,70,34486,20871,5936,350,103,131,41,158
33526,1175,150,164,450,156,103149,4519,919,144,417,160,27,158
30270,2144,2030,314,876,246,55229,4297,4093,240,577,357,48,158
21855,827,5154,424,234,185,67701,2148,3868,254,314,174,40,158
25417,6721,15122,840,549,247,39112,9211,10925,472,417,214,62,158
27634,2752,7327,133,295,44,52597,8533,7340,227,141,113,50,158
23059,1395,2965,323,237,158,54259,4659,5312,317,74,144,28,158
35237,1302,2381,199,715,519,64047,2094,5982,136,425,348,74,158
26072,3438,3270,326,567,171,48711,5326,4693,252,244,123,42,158
27203,2217,4042,569,442,286,80439,5441,6158,560,174,252,24,158
17212,4849,6860,293,553,174,47651,8026,8666,260,526,205,44,158
14095,6509,2520,343,606,0,40049,13863,4003,247,253,158,35,158
31419,4022,0,198,447,0,69935,7322,0,79,253,90,36,158
18744,1186,0,185,409,249,66039,3105,0,107,375,227,21,158
15303,1874,0,190,292,0,54636,4550,0,112,163,187,26,158
38783,4665,992,0,0,420,103754,5541,2256,47,109,424,56,158
18955,5313,17548,943,544,320,39216,10558,15021,816,406,168,44,158
20612,8172,10957,545,447,241,47691,15418,10611,359,482,242,38,158
22889,4051,4853,185,64,225,86186,11578,6851,50,0,134,25,159
51487,5972,2198,479,610,31,138719,11714,4191,385,240,34,50,159
18652,9693,6088,509,403,255,56345,21040,7084,437,301,196,39,159
33098,4920,5398,131,399,138,52846,8765,5809,112,280,108,47,159
17653,7394,1463,158,427,205,53196,18014,2142,109,198,200,24,159
18584,3573,4253,385,178,53,44728,6821,5934,333,87,66,30,159
37236,4402,16396,912,430,249,63877,7682,12353,695,219,211,40,159
19062,7297,12762,719,259,294,40570,13792,11832,567,244,316,39,159
46467,3480,14338,890,343,480,70231,5100,9216,536,220,343,91,159
23372,2136,5497,663,93,156,80236,3561,8521,588,32,228,44,159
138873,25589,3863,412,195,316,313410,48282,9445,334,120,197,57,159
51074,3792,16538,934,348,598,91894,4134,9119,505,243,368,82,159
31022,1958,2231,389,406,223,67687,4037,3571,371,434,242,58,159
28804,6134,3606,420,580,250,66353,12236,4668,324,417,211,35,159
40710,1776,2012,273,465,126,121240,5292,3353,247,508,112,30,159
36875,24322,5259,495,772,276,96751,45371,4635,265,518,163,37,159
23259,6641,18280,1163,330,392,39910,12761,17124,802,359,288,40,159
19236,6804,9875,770,0,153,43680,13646,12419,650,0,290,46,159
5333,7050,0,126,166,238,22991,20482,0,15,0,210,18,159
19052,3470,3932,397,321,13,62717,6762,6536,430,280,361,51,159
55916,7685,14177,773,408,0,82058,11944,8424,506,327,43,64,159
26189,4455,9472,442,418,201,49701,8682,7796,336,260,192,44,159
27896,3594,5674,66,469,258,58918,4620,5091,226,253,266,82,159
24250,7289,2449,54,606,326,47227,13451,5285,262,346,181,71,159
8168,4320,0,231,319,244,32948,11733,82,182,93,191,19,159
25479,516,2006,110,358,243,95782,1731,3325,113,143,230,24,159
22274,187,235,60,504,122,80770,1449,432,0,299,66,21,159
14039,4453,5182,356,483,161,52022,11514,8019,329,380,112,21,159
14664,1971,7352,429,472,194,47836,5451,10342,410,284,166,29,159
23224,713,2582,110,333,222,66563,2482,4187,180,440,486,36,159
19987,0,14278,850,205,0,57337,392,14449,664,135,52,41,159
12434,4514,6591,426,436,340,53064,12220,8676,400,355,285,21,159
26618,6163,14124,870,139,153,44058,9189,16138,770,26,155,42,159
8125,7552,0,228,255,240,30223,17791,0,97,146,181,26,159
16509,2753,7911,621,540,131,54275,6767,10711,769,443,230,25,160
19758,3934,8946,565,397,146,66841,8130,10752,570,243,167,28,160
21580,5008,663,69,526,191,59559,10483,986,24,249,127,27,160
41683,2201,14102,734,145,265,67809,4227,11905,504,147,341,52,160
4694,3369,0,30,324,117,27908,12813,0,0,72,138,12,160
7424,1645,3051,253,403,125,47687,6457,6082,259,256,40,12,160
26972,15942,8584,305,213,422,60168,30681,10585,385,239,260,52,160
4900,5403,0,0,366,85,20920,14897,32,0,316,106,20,160
13072,12866,1688,129,210,189,50361,32117,2419,10,7,206,24,160
13468,6320,6299,331,264,304,56209,15695,10573,421,70,433,20,160
29197,2593,1561,0,448,374,69637,4673,2460,0,419,250,53,160
35924,2209,9756,755,79,76,79833,2587,8281,478,37,73,62,160
18791,8217,5356,405,271,88,90455,24529,8843,496,88,0,17,160
24845,7600,2961,282,657,159,59400,15505,4251,139,485,124,34,160
15439,2559,104,187,123,89,42637,7038,547,102,68,16,33,160
30450,7218,8224,368,748,300,65027,12839,11103,474,442,430,40,160
45283,4326,10118,547,198,216,64032,7899,6458,321,379,202,62,160
89514,19277,19656,1260,291,349,151855,26252,14602,835,310,403,91,160
17754,2370,13683,787,477,122,52473,5496,14994,781,384,170,31,160
34656,7210,6393,389,378,188,44811,13072,6000,350,130,238,54,160
14731,2729,640,116,423,131,72897,7300,2674,85,425,110,17,160
21386,1647,0,0,214,223,73079,2697,0,0,77,263,37,160
22784,2612,7082,438,303,0,75458,7300,10140,430,101,0,22,160
