 ,Area,Mean,StdDev,Min,Max
1,6.031,180.236,19.254,160,238
2,5.688,176.121,13.128,160,208
3,7.747,178.563,22.035,160,249
4,4.168,188.000,20.978,160,234
5,4.217,180.640,16.934,160,225
6,5.247,182.729,22.116,160,244
7,6.472,182.773,15.901,160,221
8,4.021,178.622,15.657,160,219
9,4.854,183.909,22.267,160,234
10,4.560,183.699,19.568,160,229
11,4.168,183.871,19.707,160,223
12,5.884,178.800,16.106,160,226
13,6.129,167.472,5.250,160,183
14,8.630,195.080,33.858,160,269
15,4.119,186.417,23.538,160,249
16,8.728,191.140,30.675,160,267
17,5.247,186.944,25.149,160,247
18,6.865,195.707,37.817,155,296
19,4.707,194.979,42.167,160,302
20,4.462,188.637,29.977,160,266
21,7.845,178.219,15.395,160,218
22,8.581,177.560,14.465,160,216
23,6.522,179.023,19.867,160,233
24,15.397,168.525,6.871,156,189
25,4.168,179.741,18.983,160,233
26,4.266,167.207,5.516,160,181
27,8.875,174.448,14.646,160,218
28,4.609,177.011,18.497,160,227
29,6.129,175.472,16.411,160,226
30,7.453,171.046,8.587,153,193
31,5.345,168.761,7.903,160,190
32,4.707,163.417,2.775,156,172
33,8.728,173.191,12.175,160,210
34,10.984,174.272,11.725,159,205
35,9.562,162.513,2.838,147,173
36,5.100,168.875,9.462,160,197
37,5.590,177.482,16.660,160,224
38,4.266,162.218,2.475,156,169
39,7.257,170.730,9.453,158,198
40,6.276,189.883,30.866,160,268
41,21.330,172.255,15.229,158,244
42,6.669,168.772,7.780,160,193
43,7.404,178.517,20.692,159,241
44,6.718,163.409,3.242,159,175
45,6.423,164.344,3.577,159,175
46,8.728,172.522,11.033,160,207
47,10.935,167.018,5.623,160,182
48,8.924,164.643,4.671,151,180
49,7.796,172.208,11.496,160,208
50,11.131,193.489,33.679,155,280
51,7.796,161.478,3.126,151,175
52,9.169,179.599,23.556,155,262
53,15.102,167.588,10.097,148,211
54,4.756,162.804,2.683,157,173
55,15.201,164.261,3.720,155,177
56,4.315,161.773,2.211,156,168
57,11.327,162.580,2.481,156,172
58,5.001,162.363,2.691,154,171
59,4.413,161.333,2.579,152,168
60,25.007,174.898,20.121,153,248
61,5.296,162.343,2.901,153,174
62,10.935,164.242,4.015,152,180
63,6.080,162.306,2.712,155,171
64,11.866,171.050,13.352,160,221
65,8.336,162.753,2.684,155,173
66,5.688,162.681,2.354,158,170
67,5.688,162.284,2.182,154,170
68,8.091,164.588,3.811,160,177
69,6.718,162.431,2.773,152,172
70,10.444,164.995,4.918,155,183
71,16.328,170.583,12.902,156,222
72,4.805,162.449,2.593,155,171
73,4.707,162.344,2.706,155,170
74,5.149,161.867,2.108,153,167
75,7.600,162.148,2.452,156,170
76,16.377,180.087,26.137,160,280
77,4.609,163.936,3.546,156,176
78,11.670,162.319,2.730,153,171
79,4.364,162.034,2.442,154,170
80,5.100,162.760,2.571,158,173
81,11.131,162.877,2.729,155,173
82,5.884,161.233,2.706,151,170
83,4.658,162.800,2.720,154,169
84,4.315,162.125,2.490,153,169
85,5.001,161.186,2.897,151,171
86,4.707,162.656,2.659,156,172
87,10.738,162.365,2.376,153,170
88,4.315,162.420,2.338,153,168
89,6.325,163.085,2.812,156,174
90,7.061,162.701,2.556,156,171
91,4.413,162.600,2.651,160,174
92,4.756,162.041,2.286,153,169
93,7.404,163.503,3.241,157,176
94,4.560,161.871,1.895,157,167
95,4.266,162.218,2.233,157,168
96,4.413,163.289,3.003,157,171
97,8.189,162.359,2.347,155,170
98,7.110,188.179,31.997,160,272
99,5.198,161.972,2.095,158,168
100,5.835,162.202,1.968,160,168
101,7.061,162.299,2.743,155,171
102,6.423,162.176,2.289,157,172
103,6.816,162.806,2.949,152,173
104,6.080,162.129,3.216,153,172
105,12.651,166.876,7.347,155,196
106,5.100,162.048,2.379,158,170
107,6.325,161.690,2.189,154,169
108,5.050,162.233,2.219,158,170
109,4.903,164.160,3.959,158,177
110,7.796,164.195,3.686,156,177
111,6.423,162.580,2.911,151,170
112,6.522,162.669,2.636,155,172
113,4.560,162.247,2.311,154,169
114,4.511,162.674,2.542,157,169
115,4.560,164.108,3.305,160,174
116,20.594,168.621,8.397,153,196
117,16.917,162.348,2.388,155,172
118,4.364,161.966,1.904,157,170
119,7.306,162.067,2.356,155,169
120,4.315,163.841,3.169,158,172
121,5.933,163.256,2.788,155,171
122,4.217,162.221,2.437,152,169
123,5.443,162.604,2.469,156,172
124,5.198,162.396,2.632,155,173
125,5.884,161.950,2.589,149,171
126,7.257,162.128,2.513,151,171
127,19.466,171.134,11.739,153,216
128,5.296,162.861,2.830,152,170
129,8.875,162.199,2.672,153,172
130,17.701,161.416,3.093,147,173
131,16.917,173.716,23.938,146,280
132,4.168,162.482,2.566,160,172
133,9.856,160.706,3.821,150,173
134,23.683,185.692,23.423,157,252
135,4.168,162.882,2.630,158,169
136,4.707,162.396,2.456,157,170
137,5.541,162.186,2.415,153,172
138,7.159,162.178,2.736,153,169
139,9.660,162.041,2.547,150,171
140,5.296,162.880,3.235,152,174
141,5.345,162.642,2.637,155,169
142,7.404,161.993,1.864,159,169
143,4.364,162.663,2.872,154,171
144,5.198,162.113,2.157,157,170
145,5.443,162.667,2.647,154,172
146,7.796,162.333,2.399,153,171
147,4.658,163.274,2.811,157,172
148,5.541,162.150,2.296,157,172
149,5.001,162.716,2.402,155,171
