 ,Area,Mean,StdDev,Min,Max
1,4.315,220.261,13.982,202,253
2,4.021,216.280,14.319,202,260
3,4.609,241.787,30.020,202,315
4,4.266,239.782,29.648,202,319
5,5.149,242.638,29.413,202,312
6,4.021,236.598,27.431,202,311
7,5.786,210.907,6.130,202,229
8,9.316,222.495,15.953,197,272
9,5.443,250.045,38.633,202,343
10,4.315,224.250,17.693,202,267
11,5.884,225.967,25.353,202,310
12,5.247,253.355,42.382,202,363
13,4.266,246.034,34.200,204,326
14,10.346,229.000,18.291,202,282
15,4.070,241.229,26.142,202,289
16,4.168,232.635,20.122,202,281
17,8.826,229.878,19.399,202,276
18,4.168,218.859,11.311,202,243
19,8.777,238.525,25.414,202,294
20,4.021,235.366,23.472,202,291
21,4.903,245.350,31.584,202,321
22,4.217,222.709,16.389,201,260
23,7.600,231.129,27.317,200,309
24,9.954,264.675,43.687,202,390
25,5.639,224.009,14.503,202,260
26,4.364,236.449,23.905,202,287
27,9.316,234.184,28.822,202,337
28,6.620,250.178,33.477,203,327
29,7.159,249.212,34.947,202,329
30,8.042,229.780,21.831,202,281
31,6.816,220.432,12.363,202,250
32,4.070,236.831,23.257,202,295
33,4.511,226.793,17.939,202,273
34,6.276,231.078,22.025,202,277
35,5.050,232.350,24.644,202,301
36,5.050,232.903,31.005,202,318
37,6.227,238.181,30.966,202,333
38,4.266,243.391,30.878,202,310
39,4.168,229.741,20.851,202,282
40,6.080,232.218,20.462,202,284
41,4.658,237.221,23.696,202,280
42,4.364,256.270,35.455,205,332
43,5.149,247.286,32.713,202,317
44,4.119,221.155,15.349,202,272
45,5.198,241.858,44.413,202,379
46,7.110,248.786,38.527,202,371
47,5.688,232.621,24.130,202,296
48,6.031,233.098,27.088,202,307
49,4.658,228.537,17.723,202,268
50,6.472,239.008,30.759,202,314
51,6.767,241.116,34.922,203,352
52,9.415,241.547,33.934,202,345
53,4.266,232.667,21.877,203,285
54,11.572,263.695,59.388,201,463
55,12.406,230.929,26.816,202,318
56,9.954,242.778,28.784,202,352
57,4.511,270.717,67.613,202,429
58,4.756,243.979,31.423,202,319
59,4.560,238.505,24.055,204,303
60,7.845,243.331,34.854,202,345
61,4.805,229.010,18.456,202,268
62,6.620,247.407,30.543,202,315
63,4.707,225.198,22.445,202,290
64,4.217,232.174,20.492,203,284
65,4.560,258.097,39.544,202,351
66,4.854,224.525,17.031,202,267
67,7.649,214.949,10.611,202,249
68,6.423,244.702,28.111,202,310
69,6.472,250.955,36.345,202,339
70,7.257,233.770,23.851,202,304
71,5.786,253.771,43.589,202,377
72,8.826,237.172,27.543,202,300
73,5.001,236.931,20.575,202,288
74,8.385,246.398,33.155,202,336
75,4.315,233.557,33.538,202,325
76,5.050,262.825,50.543,202,412
77,4.266,241.908,33.029,202,332
78,6.178,243.746,28.488,202,337
79,5.394,250.773,36.129,202,339
80,7.796,229.440,17.126,202,274
81,4.168,264.165,46.960,202,362
82,4.315,229.455,20.997,202,285
83,6.522,243.158,37.121,202,333
84,4.070,228.205,17.322,202,263
85,5.345,227.661,22.161,202,288
86,5.100,237.567,23.347,202,287
87,6.423,221.931,16.543,202,267
88,4.413,240.200,26.334,202,305
89,7.649,245.878,29.531,202,320
90,4.413,225.033,17.507,202,264
91,6.129,249.592,46.381,202,391
92,6.178,243.452,30.174,202,311
93,4.609,223.479,17.276,202,265
94,4.070,215.398,9.784,203,243
95,7.551,239.539,27.992,202,314
96,7.012,257.196,38.384,202,341
97,7.551,270.117,54.544,202,447
98,4.462,240.242,28.115,202,307
99,5.884,260.725,44.374,204,371
100,10.935,249.682,56.153,202,465
101,4.070,248.145,33.734,202,320
102,10.395,249.401,37.538,202,375
103,18.044,271.465,54.191,202,436
104,6.325,231.930,30.154,202,327
105,5.345,253.927,36.530,202,345
106,6.571,255.731,36.009,203,349
107,4.119,262.655,49.434,202,374
108,5.050,237.223,21.801,202,289
109,4.119,240.738,25.220,202,296
110,18.829,259.549,51.680,202,414
111,4.168,237.765,27.631,202,294
112,8.140,245.187,33.964,202,341
113,6.472,225.674,16.504,202,275
114,8.581,231.611,32.831,202,357
115,8.189,252.036,50.739,202,394
116,4.168,216.859,9.967,202,240
117,10.444,258.146,47.225,202,392
118,5.247,239.579,27.770,202,310
119,4.070,261.000,46.525,202,350
120,7.698,251.274,44.117,202,372
121,4.021,250.866,43.040,202,356
122,12.406,256.905,58.764,202,461
123,4.364,254.843,37.303,202,328
124,5.100,227.077,16.554,202,277
125,12.258,254.372,38.928,202,370
126,5.050,228.068,16.947,202,270
127,4.903,255.110,48.330,202,390
128,6.374,232.115,21.585,202,272
129,11.523,279.613,79.706,202,543
130,8.091,263.952,55.207,202,443
131,4.805,274.184,61.545,202,423
132,4.021,248.817,33.286,203,334
133,10.199,261.058,45.293,202,361
134,7.404,260.305,43.770,203,353
135,4.266,241.598,34.135,202,337
136,11.180,274.075,56.991,202,427
137,5.786,229.644,28.741,202,326
138,5.982,272.951,72.285,202,476
139,5.394,219.509,14.761,202,260
140,5.443,238.550,31.243,202,327
141,9.905,242.782,35.268,202,359
142,4.952,237.277,30.083,202,335
143,4.903,247.440,30.501,202,322
144,5.247,237.131,25.744,202,290
145,11.474,259.154,42.149,202,371
146,5.492,255.973,51.125,202,392
147,10.591,263.273,67.780,202,532
148,9.513,235.103,23.397,202,286
149,9.022,239.201,32.181,202,329
150,4.315,254.557,43.314,202,365
151,4.658,240.842,29.680,202,304
152,5.541,234.867,27.776,202,324
153,6.914,250.624,41.106,204,372
154,5.149,220.038,12.116,202,251
155,12.994,254.751,41.932,202,394
156,4.462,236.560,26.824,202,299
157,6.276,235.914,25.658,202,305
158,4.021,237.902,29.374,202,318
159,8.287,253.036,38.504,202,349
160,5.492,246.732,32.448,202,318
161,4.119,269.571,53.810,202,405
162,7.796,254.692,36.929,202,358
163,5.001,251.608,37.632,202,335
164,7.551,252.825,41.546,202,373
165,4.658,224.789,20.648,202,286
166,12.013,271.302,61.120,202,457
167,11.278,247.387,33.396,202,373
168,13.828,247.369,34.542,202,332
169,4.070,236.024,26.447,202,300
170,8.434,233.703,26.822,203,311
171,4.119,243.071,38.333,202,345
172,13.092,288.112,58.893,202,426
173,8.042,242.793,35.142,202,367
174,4.168,216.612,11.713,202,245
175,6.620,258.459,45.018,202,382
176,4.952,261.574,37.636,202,340
177,4.413,248.411,30.265,203,312
178,5.001,227.333,15.672,202,265
179,6.178,222.381,13.302,202,251
180,5.982,235.016,31.915,202,318
181,6.522,234.955,27.809,202,300
182,5.443,258.018,41.502,202,350
183,4.462,236.637,22.678,203,288
184,4.805,214.357,10.172,202,242
185,4.462,241.121,34.988,203,354
186,6.227,246.409,31.015,202,305
187,8.385,238.561,30.027,202,317
188,6.472,252.015,35.720,202,347
189,8.140,240.229,27.548,202,298
190,8.140,225.548,15.334,202,271
191,6.522,248.947,35.988,202,333
192,5.001,244.765,45.793,202,377
193,4.266,250.908,39.375,202,357
194,5.345,263.193,50.484,202,404
195,9.905,270.198,51.085,203,396
196,6.669,218.838,14.654,202,259
197,11.131,257.789,46.252,202,368
198,4.658,217.779,9.654,202,245
199,4.952,230.703,21.600,202,279
200,14.269,249.488,36.373,202,331
201,5.149,225.048,16.434,202,274
202,8.630,240.506,26.258,202,308
203,5.590,225.026,13.967,202,259
204,11.082,242.168,30.085,202,335
205,8.532,271.414,54.279,202,392
206,6.080,223.226,14.419,202,261
207,7.306,247.007,37.514,202,363
208,5.737,263.103,41.889,202,350
209,9.807,238.915,30.418,202,334
210,5.443,242.405,27.720,202,306
211,6.522,230.060,25.542,202,301
212,6.031,248.341,46.187,202,392
213,4.070,234.506,20.232,203,281
214,6.374,231.985,21.563,202,281
215,12.357,261.008,43.357,202,376
216,10.248,235.818,31.331,202,337
217,4.266,256.460,59.141,202,418
218,4.413,232.633,24.535,202,305
219,6.571,236.455,33.744,202,351
220,6.080,256.790,42.554,202,355
221,5.835,217.723,10.556,202,239
222,15.495,263.478,49.124,202,446
223,5.345,231.083,28.458,202,315
224,7.993,236.988,28.681,202,312
225,6.816,228.583,15.901,203,268
226,7.159,233.842,23.416,202,293
227,4.952,230.663,17.939,202,277
228,6.423,244.069,44.568,202,368
229,5.100,251.365,39.060,202,333
230,4.315,229.114,18.480,202,265
231,7.159,234.103,27.362,202,319
232,7.159,236.445,21.635,202,280
233,5.443,248.297,35.108,202,349
234,7.747,260.956,69.882,202,481
235,7.551,229.429,33.959,197,353
236,4.021,229.317,19.220,202,271
237,6.276,258.398,58.258,202,415
238,4.462,234.066,29.730,202,312
239,4.364,260.798,65.331,203,433
240,7.698,226.191,17.680,202,269
241,4.070,231.578,26.170,202,308
242,4.168,246.376,34.312,202,319
243,4.952,236.891,21.749,202,278
244,7.698,231.242,24.833,202,291
245,5.050,235.495,30.805,202,329
246,5.050,244.117,34.173,202,326
247,4.217,252.988,43.526,202,352
248,4.168,275.553,61.603,202,415
249,4.266,267.563,44.139,202,353
250,4.168,241.200,34.167,202,340
251,8.091,242.927,32.532,202,326
252,6.178,246.413,30.070,202,313
253,4.805,219.255,12.451,202,258
254,7.453,213.164,7.931,202,238
255,5.001,231.725,23.701,202,295
256,4.070,221.952,17.202,202,268
257,5.296,217.806,10.802,202,242
258,4.266,238.828,36.101,202,333
