 ,Area,Mean,StdDev,Min,Max
1,11.964,185.385,15.600,166,228
2,7.845,192.175,19.399,166,264
3,9.316,216.663,39.641,166,304
4,4.364,198.292,27.979,166,267
5,7.404,207.742,31.007,166,293
6,4.266,194.000,20.082,166,241
7,6.914,199.461,28.323,166,271
8,18.633,196.134,31.078,166,320
9,4.854,198.000,33.608,166,295
10,8.777,199.285,27.077,166,266
11,10.395,192.533,19.373,166,238
12,4.609,176.234,8.398,165,204
13,5.100,182.923,14.547,166,225
14,6.767,193.101,19.053,166,242
15,5.590,209.079,33.656,166,288
16,6.129,181.312,12.944,163,222
17,4.266,217.759,42.102,166,303
18,4.805,187.388,16.240,166,231
19,5.737,183.991,13.955,166,225
20,6.080,184.371,16.032,166,231
21,4.119,204.917,25.252,166,265
22,4.805,187.847,20.628,166,246
23,4.756,175.196,6.224,166,193
24,9.905,214.861,44.614,166,339
25,7.600,208.387,37.181,166,306
26,6.914,182.057,10.642,166,207
27,5.443,177.667,8.472,166,202
28,4.266,174.207,5.647,166,193
29,8.140,188.319,15.958,166,222
30,11.131,185.652,14.021,166,224
31,19.270,201.326,28.159,166,302
32,4.854,183.838,15.355,166,220
33,4.707,208.646,44.167,166,327
34,10.640,212.327,45.278,166,360
35,4.903,170.980,3.464,166,180
36,10.003,198.025,30.180,166,294
37,6.031,174.114,5.711,166,187
38,4.119,181.226,10.676,166,206
39,6.129,184.144,12.834,166,216
40,4.462,180.407,12.604,166,214
41,7.061,178.146,8.723,166,203
42,4.560,172.086,4.425,166,184
43,8.140,189.530,16.014,166,231
44,8.581,188.646,16.761,166,233
45,8.924,194.060,21.551,166,253
46,11.866,199.574,27.475,166,292
47,12.700,196.691,23.646,166,278
48,4.511,217.674,38.445,166,310
49,5.296,173.778,6.406,160,192
50,8.924,176.066,7.128,166,194
51,16.426,192.397,24.240,166,283
52,5.492,197.884,27.548,166,269
53,5.835,175.202,6.167,166,189
54,11.817,208.892,36.115,166,292
55,11.817,201.730,28.426,166,270
56,5.639,184.983,14.607,166,217
57,4.707,199.583,21.493,166,247
58,6.374,188.831,20.595,166,248
59,9.562,200.836,28.535,166,266
60,4.952,179.475,11.435,165,213
61,12.111,195.150,24.985,166,279
62,4.805,202.071,34.296,166,295
63,16.181,199.861,25.112,166,261
64,4.021,171.829,3.940,166,183
65,6.472,174.864,6.133,166,192
66,9.807,209.030,32.500,166,318
67,6.472,173.295,5.233,162,187
68,4.315,179.830,12.457,166,218
69,7.012,183.399,11.505,166,219
70,6.816,177.187,8.020,166,197
71,7.110,172.766,5.117,166,189
72,5.933,180.182,11.021,166,209
73,7.894,179.534,10.485,166,207
74,4.217,176.128,7.581,166,197
75,21.918,179.485,10.125,166,211
76,4.266,171.954,5.069,166,190
77,7.061,190.396,18.323,166,237
78,6.080,172.734,4.898,166,187
79,4.168,176.541,7.858,166,197
80,7.453,176.592,7.745,163,195
81,12.749,174.977,7.478,161,202
82,8.875,173.508,5.272,166,191
83,12.896,177.677,9.158,162,202
84,23.880,196.025,23.784,166,271
85,7.306,175.685,6.920,166,195
86,13.828,181.227,10.487,166,206
87,8.238,173.399,5.764,164,189
88,12.896,178.270,9.307,159,205
89,5.296,186.824,20.623,166,262
90,6.178,171.643,4.751,166,187
91,12.455,176.331,6.235,166,193
92,8.483,178.809,9.630,166,203
93,7.404,177.179,7.780,166,201
94,8.385,177.094,7.871,166,195
95,5.198,170.528,4.603,160,183
96,13.877,180.933,11.954,166,222
97,5.737,176.325,9.125,166,206
98,4.805,171.531,4.087,166,184
99,5.541,176.788,8.224,162,196
100,17.113,176.570,7.096,166,198
101,9.218,172.968,5.072,166,187
102,5.590,172.728,5.382,166,188
103,21.869,178.000,8.903,162,203
104,4.119,170.512,3.298,166,178
105,7.404,171.728,4.572,166,188
106,13.877,177.099,7.772,162,197
107,4.854,170.616,4.351,163,185
108,4.364,170.348,3.727,166,183
109,4.413,175.833,7.541,166,195
110,4.021,169.573,2.889,166,180
111,5.688,170.698,3.332,166,180
112,20.692,208.538,36.927,166,336
113,5.394,183.182,14.015,166,222
114,23.978,191.636,16.505,166,233
115,15.102,175.727,6.942,166,194
116,22.556,190.785,25.858,166,288
117,8.042,171.860,4.254,165,187
118,7.600,179.206,10.239,166,209
119,16.279,195.907,30.231,166,321
120,9.562,173.205,5.147,161,188
121,10.101,171.607,4.295,166,187
122,5.100,173.135,5.546,163,192
123,18.633,178.974,10.569,164,214
124,6.423,170.023,3.368,159,180
125,15.985,173.518,5.521,163,195
126,6.374,171.631,4.776,166,186
127,17.848,173.245,4.826,166,185
128,6.571,170.067,3.561,165,180
129,12.945,175.905,6.987,166,197
130,8.875,171.884,4.334,166,184
131,5.933,169.182,3.114,158,178
132,12.062,170.833,3.653,164,182
133,10.689,171.358,4.391,154,184
134,8.728,171.107,3.588,163,182
135,9.905,172.837,5.297,166,186
136,22.310,196.776,23.461,166,272
137,17.946,172.667,5.357,160,188
138,4.707,171.521,4.925,158,188
139,4.903,169.540,3.474,160,179
140,7.943,169.821,3.325,166,183
141,8.434,177.651,8.569,166,203
142,12.308,186.355,18.519,165,236
143,5.100,171.240,4.189,158,182
144,4.413,171.311,3.865,166,183
145,21.624,174.154,5.416,164,192
146,6.767,170.464,4.108,158,185
147,22.556,176.791,8.162,165,201
148,17.456,176.292,8.128,166,201
149,7.845,176.206,7.171,166,196
150,13.239,192.330,36.463,166,359
151,6.129,173.608,5.949,166,192
152,19.614,197.975,37.161,166,340
153,13.828,174.887,6.237,166,195
154,7.551,176.630,8.942,162,203
155,4.413,174.178,5.971,164,188
156,7.894,180.634,9.916,166,206
157,15.102,180.000,10.468,166,212
158,16.475,175.551,6.752,166,193
159,13.288,177.321,8.975,162,210
160,17.456,172.480,4.649,158,187
161,4.119,168.583,2.556,165,177
162,6.718,200.730,33.955,166,307
163,8.140,180.904,11.638,166,218
164,5.296,168.815,3.045,160,177
165,4.903,170.470,3.549,164,181
166,12.896,175.091,6.294,166,191
167,4.315,169.932,2.924,166,178
168,10.886,170.387,3.681,162,183
169,14.171,172.093,4.625,159,188
170,8.875,179.011,10.549,166,209
171,11.915,173.374,5.610,166,191
172,4.707,171.542,4.679,160,183
173,13.828,182.816,12.654,166,216
174,7.355,170.267,3.291,164,179
175,4.070,170.651,3.566,166,179
176,5.001,170.892,3.760,159,185
