 ,Area,Mean,StdDev,Min,Max
1,5.884,193.058,18.760,174,243
2,5.394,183.200,9.539,168,212
3,5.982,189.705,12.759,174,227
4,5.688,183.948,7.857,174,210
5,5.933,194.405,21.325,174,260
6,4.021,200.805,19.688,174,237
7,4.756,185.804,9.384,174,207
8,4.560,193.409,16.511,173,229
9,6.325,184.930,8.887,174,212
10,4.805,196.204,21.546,174,261
11,4.119,188.512,10.403,174,211
12,5.590,197.675,15.621,174,233
13,4.217,201.628,21.708,174,249
14,4.070,201.602,24.347,174,257
15,7.404,191.636,14.790,173,235
16,13.484,193.222,19.362,174,255
17,4.119,197.631,18.024,174,237
18,4.315,202.273,23.902,174,256
19,5.198,193.717,15.642,174,232
20,5.639,195.965,18.404,174,243
21,5.639,192.409,15.725,174,233
22,4.021,187.878,11.409,174,214
23,4.560,203.860,23.833,174,256
24,7.649,213.173,35.029,174,285
25,5.050,182.398,6.802,174,201
26,4.511,199.076,25.011,174,263
27,5.296,195.806,19.365,174,246
28,7.894,207.857,32.067,174,290
29,4.707,203.448,24.324,174,258
30,5.247,201.813,23.578,174,261
31,7.698,185.764,7.693,174,204
32,4.021,204.134,32.423,174,288
33,4.560,193.871,16.964,174,233
34,7.894,191.963,17.152,172,240
35,6.718,193.372,15.240,174,228
36,8.238,192.619,14.396,174,228
37,4.413,184.900,10.221,174,210
38,5.149,195.257,19.273,172,239
39,4.952,194.851,17.338,174,234
40,4.413,191.844,18.080,174,241
41,5.541,186.425,10.879,174,218
42,8.434,188.919,15.426,174,233
43,4.560,179.118,3.895,174,191
44,4.021,192.744,17.221,174,242
45,7.698,179.344,4.123,174,191
46,4.168,185.765,11.382,174,216
47,7.159,206.630,37.294,174,313
48,10.738,197.242,26.680,174,303
49,5.100,190.106,16.822,170,234
50,7.453,188.230,12.144,169,222
51,10.640,188.415,11.633,173,221
52,7.257,186.946,11.043,174,216
53,4.756,205.392,33.320,174,294
54,5.786,190.373,16.210,174,231
55,7.796,186.887,11.193,174,217
56,6.718,188.139,11.498,174,222
57,6.325,205.186,32.693,174,289
58,4.903,196.130,23.688,174,253
59,8.826,180.867,5.369,174,196
60,6.767,183.051,7.019,174,199
61,8.385,177.427,3.331,167,187
62,7.698,192.847,21.331,170,273
63,10.787,181.505,5.722,174,198
64,5.590,190.228,18.334,174,249
65,4.952,180.653,4.780,174,194
66,6.865,186.629,9.796,174,211
67,15.936,194.400,22.056,173,267
68,6.472,182.583,7.085,166,203
69,11.768,190.729,14.261,174,231
70,10.591,185.347,12.509,171,227
71,5.786,189.500,14.829,174,238
72,5.982,193.828,24.522,171,266
73,4.805,176.755,2.660,171,186
74,8.777,193.531,23.181,174,272
75,8.777,185.039,11.867,168,225
76,14.906,190.217,16.854,171,241
77,17.064,193.261,20.929,171,262
78,15.201,184.219,8.689,173,214
79,9.464,186.648,14.661,174,250
80,19.957,186.108,13.956,166,236
81,6.374,178.115,3.621,171,188
82,5.933,179.496,5.268,174,194
83,4.217,177.640,3.090,174,186
84,13.828,196.457,28.273,173,301
85,10.444,174.869,3.843,162,185
86,5.639,177.061,3.101,169,192
87,15.397,196.156,19.893,174,252
88,5.296,177.565,3.502,170,190
89,4.805,177.684,3.226,168,187
90,5.296,189.667,15.829,174,236
91,22.114,192.100,22.111,171,272
92,7.698,176.650,2.720,168,184
93,7.453,201.533,33.104,171,293
94,10.886,188.910,19.741,169,258
95,17.260,190.009,17.380,170,247
96,4.903,176.190,2.569,167,184
97,16.868,182.352,8.090,169,205
98,8.287,181.107,6.510,164,204
99,18.143,197.470,24.192,164,279
100,6.178,177.881,3.802,165,191
101,20.594,181.993,7.032,169,207
102,16.475,183.420,9.007,167,213
103,21.036,184.193,11.630,167,234
104,7.012,174.888,3.584,165,183
105,11.278,182.974,9.669,168,217
106,8.826,182.256,7.349,174,208
107,9.120,184.430,11.466,174,229
108,10.640,193.986,28.264,168,309
109,4.805,179.388,3.671,168,191
110,12.258,176.188,2.755,163,184
111,4.315,176.011,2.851,167,187
112,5.590,177.289,2.980,173,189
113,22.016,201.450,23.049,174,268
114,12.749,186.258,15.377,171,247
115,4.315,180.352,4.564,174,192
116,17.554,186.120,15.040,163,245
117,4.805,176.224,2.530,163,183
118,7.208,179.986,4.066,174,198
