 ,Area,Mean,StdDev,Min,Max
1,4.315,199.682,15.900,181,245
2,4.805,195.837,10.117,181,225
3,4.266,195.655,10.824,181,218
4,5.247,190.570,6.222,181,206
5,6.816,200.799,15.842,181,240
6,6.620,214.111,24.024,181,273
7,4.070,197.771,13.864,181,233
8,4.168,210.012,20.074,181,248
9,4.805,206.082,14.165,181,236
10,4.952,215.168,28.170,181,287
11,9.022,200.353,14.372,181,242
12,8.679,201.395,13.996,174,238
13,8.532,203.856,15.586,181,243
14,7.894,203.944,17.810,181,251
15,4.070,200.892,14.882,181,234
16,4.266,212.563,22.125,181,262
17,4.217,197.244,12.808,181,232
18,4.217,217.047,29.159,181,287
19,6.227,191.898,8.517,181,216
20,10.248,191.440,7.746,181,213
21,5.590,194.307,8.747,181,218
22,6.620,221.600,32.933,181,283
23,4.119,201.536,17.552,181,241
24,6.522,216.135,28.106,181,281
25,4.119,198.619,13.179,181,227
26,4.707,200.854,15.098,181,233
27,7.355,211.840,22.236,181,263
28,4.364,196.528,12.475,181,223
29,5.149,198.848,13.814,181,236
30,5.541,193.903,8.807,181,215
31,8.238,240.744,58.756,181,404
32,5.198,198.585,14.118,181,229
33,4.658,210.684,22.537,181,266
34,4.168,212.235,25.142,181,273
35,5.149,217.933,35.257,181,304
36,4.070,195.193,10.635,181,227
37,5.001,207.941,22.380,181,269
38,7.796,205.126,24.855,181,278
39,4.315,197.807,14.511,181,233
40,5.001,194.020,9.835,181,225
41,7.649,194.199,9.759,181,222
42,4.021,191.963,8.724,181,217
43,5.884,196.208,12.815,181,225
44,4.217,192.291,9.506,177,219
45,4.511,193.967,10.209,181,219
46,4.266,216.391,26.811,181,279
47,4.511,195.522,10.995,181,225
48,8.042,220.305,39.616,181,340
49,4.119,205.119,21.855,181,254
50,4.609,191.606,8.156,180,211
51,4.070,197.518,15.913,181,246
52,4.217,197.302,14.400,170,233
53,11.033,202.333,18.508,180,246
54,4.168,193.353,8.916,181,216
55,5.345,195.431,12.827,181,239
56,4.021,207.134,25.794,181,270
57,7.061,188.576,6.154,181,212
58,5.639,199.957,17.444,181,241
59,12.945,195.167,11.620,180,234
60,4.560,193.237,11.978,181,232
61,8.140,242.265,64.950,181,406
62,4.070,200.205,18.921,181,252
63,6.178,190.984,8.956,181,217
64,15.740,214.081,33.086,181,333
65,8.385,199.018,16.615,181,247
66,4.119,188.131,5.352,181,200
67,12.160,201.613,20.531,181,258
68,9.169,190.369,7.287,181,208
69,5.345,193.936,12.767,181,240
70,8.238,213.310,31.846,181,299
71,8.973,195.678,11.720,181,228
72,6.178,203.690,24.225,181,279
73,8.826,199.928,16.469,181,241
74,8.581,209.051,29.445,181,298
75,6.767,188.536,4.936,180,204
76,6.865,203.364,21.191,181,267
77,4.364,184.888,3.047,181,193
78,13.043,195.639,16.589,181,277
79,9.365,203.654,22.466,181,267
80,5.933,202.860,19.433,181,261
81,4.511,190.315,8.004,181,214
82,8.385,221.468,48.196,181,383
83,18.339,200.714,15.693,181,243
84,8.532,192.736,10.419,178,229
85,14.563,194.354,11.334,177,230
86,4.805,215.908,32.285,181,287
87,4.413,185.833,3.961,180,199
88,5.149,193.257,9.590,181,217
89,11.768,196.088,13.032,181,234
90,5.492,202.062,19.290,181,254
91,4.021,186.707,5.787,181,203
92,15.593,194.673,11.118,175,226
93,8.679,189.288,6.730,179,208
94,7.355,218.933,30.308,181,302
95,10.052,192.737,9.756,181,222
96,5.296,185.898,4.243,175,197
97,8.042,199.665,18.857,181,259
98,7.110,188.690,5.511,181,203
99,7.845,204.506,24.273,181,296
100,8.140,190.470,7.070,181,211
101,9.611,197.301,13.075,181,235
102,4.952,192.149,8.397,181,215
103,7.698,193.465,10.207,181,226
104,8.189,194.802,13.254,174,234
105,4.560,187.430,5.448,181,212
106,4.413,191.811,10.993,181,223
107,6.718,196.818,18.092,181,256
108,9.120,194.333,11.219,181,226
109,7.747,190.051,7.038,181,209
110,5.884,207.292,28.763,181,289
111,17.995,209.204,22.282,181,271
112,11.572,205.254,22.871,181,274
