 ,Area,Mean,StdDev,Min,Max
1,5.394,193.018,10.707,179,219
2,4.560,198.742,17.021,179,245
3,4.168,195.624,12.042,179,223
4,7.257,197.095,14.633,179,235
5,6.963,211.775,25.057,179,269
6,4.364,196.753,14.936,179,240
7,5.001,188.824,7.950,179,209
8,4.021,209.037,20.492,179,244
9,5.443,200.757,14.716,179,233
10,5.100,213.962,28.496,179,278
11,20.398,196.440,12.946,179,245
12,8.777,203.022,15.818,179,243
13,8.973,202.230,19.831,179,253
14,4.609,198.191,15.318,179,231
15,4.217,211.640,22.098,180,257
16,4.511,197.511,14.539,179,228
17,6.522,191.850,9.028,178,216
18,4.315,213.875,29.346,179,288
19,5.884,189.792,9.466,179,216
20,6.276,224.391,32.592,179,287
21,4.511,199.098,18.477,179,243
22,6.669,215.824,29.734,179,283
23,4.511,198.924,20.662,179,257
24,4.462,196.505,13.526,179,230
25,4.266,207.954,22.692,179,258
26,4.707,200.573,15.505,179,235
27,4.462,197.242,15.311,179,238
28,7.894,207.677,22.724,179,266
29,5.737,193.188,12.037,179,230
30,6.129,196.552,14.588,179,233
31,5.835,192.571,9.326,178,215
32,6.522,194.895,12.203,179,219
33,6.669,195.316,16.247,178,245
34,7.845,219.238,40.592,179,344
35,5.050,207.932,22.533,179,262
36,5.492,196.562,14.229,179,230
37,5.198,204.462,24.776,177,278
38,5.198,217.962,35.990,179,307
39,5.492,192.643,12.236,179,225
40,4.707,210.177,21.969,179,259
41,8.140,202.825,25.635,179,278
42,5.247,193.738,11.761,179,226
43,8.532,192.172,9.938,179,218
44,4.217,191.140,9.110,179,209
45,4.070,200.651,19.824,179,248
46,6.472,193.311,13.016,179,224
47,5.639,191.113,10.169,175,218
48,4.609,212.436,28.415,179,275
49,5.247,192.551,11.186,179,218
50,8.434,218.733,40.826,179,346
51,4.952,200.822,21.532,179,262
52,5.198,184.972,4.875,179,199
53,5.247,189.822,8.593,179,212
54,5.198,195.425,16.178,179,238
55,11.670,201.315,19.863,179,257
56,4.805,191.755,10.363,179,220
57,4.070,194.952,14.328,179,235
58,5.786,191.847,12.336,173,230
59,9.954,188.084,6.962,179,211
60,6.865,197.250,17.642,175,249
61,13.533,193.594,12.410,179,230
62,8.385,238.725,65.699,179,407
63,4.658,195.695,17.871,179,240
64,4.903,190.600,10.759,179,218
65,6.767,189.188,7.666,179,210
66,9.905,196.599,15.491,177,232
67,7.993,198.264,16.296,172,242
68,4.266,187.471,7.708,179,212
69,5.394,189.445,7.591,179,207
70,12.160,200.230,19.957,177,268
71,4.511,198.163,19.739,179,252
72,12.357,187.401,6.616,174,210
73,6.522,184.632,4.327,174,199
74,8.973,209.279,31.330,179,304
75,5.639,193.522,13.220,179,239
76,10.101,194.034,13.184,176,233
77,6.472,199.674,23.935,175,284
78,6.767,201.486,19.226,179,244
79,8.924,207.555,29.701,179,295
80,13.239,195.474,16.720,178,273
81,10.150,201.797,22.879,179,274
82,10.886,204.631,20.279,179,257
83,5.737,188.650,8.252,175,210
84,7.894,221.839,48.342,179,383
85,20.447,199.981,17.547,179,246
86,9.022,190.815,10.768,177,220
87,14.024,193.797,12.521,176,231
88,4.707,214.969,31.677,179,283
89,5.443,193.207,13.175,174,230
90,7.453,184.836,4.977,178,198
91,13.533,193.859,14.243,172,238
92,6.080,199.613,20.635,178,253
93,18.094,192.165,10.633,179,220
94,4.266,185.207,5.875,179,205
95,8.679,188.130,7.015,177,208
96,6.129,208.520,29.914,179,285
97,11.621,191.878,11.350,178,223
98,7.600,185.265,4.752,178,200
99,9.267,196.418,18.639,179,263
100,10.542,187.237,6.187,177,207
101,9.464,189.062,7.776,179,213
102,10.395,196.693,14.917,179,237
103,6.227,189.228,8.847,179,220
104,13.288,190.262,10.975,174,224
105,4.903,189.880,11.937,179,229
106,8.630,195.273,17.136,179,257
107,6.080,195.871,18.589,176,251
108,5.590,185.360,5.836,179,206
109,9.316,188.868,8.059,179,213
110,6.472,205.333,29.909,179,301
111,18.535,207.733,22.788,179,279
112,8.679,194.938,15.019,171,239
