 ,Area,Mean,StdDev,Min,Max
1,6.031,228.138,19.670,204,284
2,5.541,229.699,17.136,204,278
3,5.198,225.632,13.496,204,255
4,5.688,227.250,15.614,204,263
5,5.982,217.115,10.822,204,246
6,6.963,241.796,29.460,204,328
7,4.021,239.927,30.249,204,320
8,5.835,242.151,29.124,204,314
9,4.903,251.130,38.465,204,344
10,6.325,220.233,12.639,204,263
11,5.345,239.028,25.076,204,288
12,9.365,223.288,13.469,204,262
13,4.462,236.582,24.436,204,305
14,4.070,215.289,7.273,204,236
15,4.854,223.384,19.106,203,286
16,4.168,230.671,17.860,204,268
17,5.100,232.154,20.349,204,280
18,8.336,235.629,24.124,204,304
19,4.168,220.706,10.939,204,246
20,6.031,233.829,22.196,204,285
21,5.198,226.255,17.677,204,275
22,6.031,239.789,31.426,204,337
23,6.816,244.144,31.800,204,336
24,11.082,228.872,24.216,204,315
25,4.756,226.144,16.149,204,274
26,10.738,260.530,38.343,204,350
27,8.777,240.425,29.852,204,347
28,6.472,255.917,33.600,204,342
29,5.688,224.862,13.925,204,261
30,4.903,238.200,24.150,205,299
31,7.404,246.682,40.240,204,354
32,5.001,225.451,15.188,204,262
33,10.738,259.932,36.962,204,367
34,5.149,235.162,22.343,204,299
35,12.308,230.100,22.325,204,301
36,6.227,246.669,34.076,204,357
37,5.933,223.983,13.763,204,266
38,4.707,231.740,17.504,205,273
39,10.542,255.023,33.655,204,350
40,6.325,233.217,21.533,204,282
41,12.945,240.322,26.328,204,320
42,5.541,239.469,25.241,204,302
43,5.050,258.660,40.461,204,353
44,4.070,249.325,36.419,204,336
45,5.492,248.768,41.531,205,375
46,5.884,232.392,22.318,204,294
47,6.914,256.582,37.926,204,362
48,4.805,230.704,17.690,204,268
49,5.050,250.961,37.734,204,350
50,5.541,241.531,30.037,204,312
51,4.707,224.219,13.966,204,259
52,5.100,227.788,14.556,204,268
53,7.453,244.895,33.156,206,346
54,12.945,261.473,50.153,204,418
55,4.070,226.157,15.989,204,270
56,7.012,250.811,36.101,204,341
57,6.522,244.368,27.205,204,304
58,4.462,231.934,20.844,204,280
59,7.404,236.411,26.135,204,337
60,4.364,220.798,12.196,204,256
61,9.365,241.869,30.091,204,342
62,4.217,277.558,68.243,204,437
63,4.511,238.641,25.399,205,304
64,4.511,245.380,29.232,204,308
65,5.001,218.402,8.578,204,241
66,7.012,257.762,45.784,204,387
67,5.100,234.346,23.416,204,288
68,10.248,231.560,22.834,204,310
69,6.178,247.294,30.775,204,336
70,7.159,235.726,23.999,204,297
71,4.805,242.837,32.056,204,329
72,7.306,255.027,37.948,204,354
73,5.786,245.517,28.105,204,314
74,4.952,235.416,21.336,204,286
75,4.805,230.939,23.534,197,299
76,5.345,256.358,47.846,204,412
77,9.660,249.122,27.574,204,322
78,5.541,238.637,24.455,204,300
79,4.021,240.561,28.406,205,310
80,6.031,257.415,41.857,204,350
81,4.119,224.012,13.180,204,258
82,5.590,251.281,32.920,204,329
83,6.325,233.682,26.749,204,321
84,5.982,247.672,30.434,204,345
85,5.884,256.308,39.676,204,360
86,6.031,240.228,27.394,204,305
87,6.276,274.734,53.298,204,411
88,6.816,253.683,37.021,204,350
89,5.296,246.120,28.914,204,310
90,4.658,251.537,36.054,204,323
91,7.845,262.562,41.696,204,352
92,7.698,241.643,25.849,204,291
93,5.198,246.642,26.715,204,314
94,6.129,245.320,28.553,204,320
95,4.756,255.041,39.482,204,338
96,4.462,232.846,18.690,204,278
97,9.660,247.218,32.951,204,327
98,7.355,253.667,34.779,204,332
99,5.835,243.361,32.875,204,343
100,6.963,245.366,33.733,204,334
101,7.943,269.315,57.534,204,459
102,5.590,252.263,29.241,204,306
103,4.315,235.898,20.780,204,276
104,8.238,252.655,41.259,204,363
105,5.247,246.869,29.792,204,307
106,4.119,228.333,22.452,204,288
107,8.875,265.348,39.368,204,367
108,4.168,290.976,64.481,205,441
109,4.658,240.789,26.092,204,308
110,4.070,245.434,34.146,204,329
111,20.545,280.759,56.695,204,441
112,6.718,239.511,30.432,204,316
113,5.247,266.075,57.200,205,406
114,4.217,225.814,17.919,204,273
115,10.395,261.184,54.812,204,464
116,7.110,241.455,27.112,204,303
117,6.031,252.122,34.277,204,334
118,4.756,226.784,15.790,204,265
119,9.611,264.107,43.201,204,363
120,4.658,220.895,17.738,204,268
121,11.180,234.333,21.183,204,290
122,6.325,252.256,37.623,204,356
123,4.805,246.878,28.002,205,308
124,5.394,267.591,54.070,204,411
125,4.560,247.097,32.157,204,331
126,4.070,218.313,9.521,204,244
127,11.572,247.725,33.496,204,350
128,4.903,238.130,21.457,204,282
129,4.119,226.440,19.092,204,280
130,4.805,238.031,37.153,204,351
131,8.238,269.899,54.758,204,434
132,4.315,255.989,43.877,204,363
133,5.541,268.584,41.293,206,364
134,5.590,234.246,25.430,204,312
135,4.560,229.903,27.159,204,324
136,4.119,276.417,55.742,205,388
137,11.670,251.105,37.081,204,362
138,5.541,235.761,30.539,204,345
139,7.012,262.154,53.591,204,424
140,5.345,235.633,21.379,204,280
141,6.816,230.439,16.907,204,272
142,11.572,283.729,82.753,204,572
143,8.875,264.370,57.510,204,449
144,6.129,238.848,34.145,204,345
145,4.511,253.641,34.340,204,336
146,6.718,248.321,30.919,204,316
147,4.854,284.545,63.546,204,443
148,4.266,266.138,43.151,204,359
149,9.758,267.678,47.537,204,378
150,8.483,258.387,44.537,204,376
151,12.553,263.949,54.247,204,434
152,5.688,236.681,26.561,204,319
153,4.805,246.133,28.022,204,308
154,4.168,294.541,65.325,206,443
155,5.492,234.339,24.398,204,290
156,10.395,254.476,41.499,204,372
157,10.297,240.576,27.304,204,314
158,4.560,243.968,35.437,204,334
159,4.805,239.214,34.023,204,349
160,4.364,244.753,35.345,204,332
161,6.620,266.867,44.278,204,389
162,7.502,236.745,26.634,204,294
163,10.395,231.745,20.609,204,291
164,6.374,258.938,44.045,204,362
165,15.789,272.388,62.450,204,507
166,4.658,246.011,34.082,205,349
167,12.062,240.089,30.761,204,339
168,5.688,232.000,18.723,204,277
169,4.217,250.988,40.367,204,351
170,8.728,232.202,23.532,204,301
171,4.168,250.518,35.333,205,340
172,4.070,234.578,26.881,204,299
173,6.276,228.891,17.764,204,280
174,4.413,242.911,33.059,204,321
175,16.132,264.903,51.827,204,442
176,8.924,264.934,47.356,204,384
177,7.012,269.580,51.066,204,413
178,7.453,233.664,27.180,204,305
179,4.952,246.366,29.374,204,299
180,5.639,238.809,27.737,204,335
181,7.698,242.108,29.345,205,329
182,7.306,266.094,51.033,204,403
183,4.315,259.216,35.276,204,339
184,7.649,212.615,6.703,204,232
185,4.560,273.183,52.553,204,389
186,5.541,229.398,23.420,204,294
187,4.413,260.911,36.955,204,346
188,6.472,248.818,32.690,205,341
189,5.982,241.221,26.041,204,309
190,13.190,286.145,58.713,204,416
191,10.444,256.775,44.579,204,398
192,7.600,240.187,35.313,204,379
193,4.315,278.034,53.222,207,403
194,7.600,237.465,34.127,201,324
195,6.325,233.093,22.496,204,294
196,10.689,254.624,46.044,204,418
197,4.413,244.433,37.605,204,333
198,6.423,234.809,25.765,204,306
199,6.963,239.577,35.139,204,341
200,4.168,236.412,20.837,204,273
201,8.385,239.240,23.302,204,293
202,7.453,245.039,34.736,204,349
203,10.640,260.309,58.702,204,448
204,4.021,244.439,30.547,204,304
205,5.050,235.398,22.647,204,294
206,4.413,247.533,31.980,204,316
207,4.315,250.580,33.002,204,317
208,5.590,230.412,22.947,204,289
209,6.423,259.611,42.883,204,368
210,11.768,234.775,22.969,204,297
211,23.732,264.897,51.174,204,429
212,5.296,264.130,46.732,206,393
213,6.718,238.964,29.345,204,329
214,13.484,264.051,52.174,204,401
215,6.522,250.820,37.292,204,351
216,7.061,233.312,21.699,204,288
217,11.131,259.176,38.938,204,352
218,6.325,229.992,15.391,204,266
219,11.376,238.259,24.989,204,320
220,7.257,242.554,29.179,204,315
221,5.590,237.588,33.426,204,342
222,4.364,245.146,28.735,205,310
223,4.658,238.295,22.950,204,290
224,5.149,242.981,30.678,205,326
225,7.306,235.584,20.075,204,292
226,5.198,254.066,35.916,205,359
227,15.102,261.925,49.494,204,384
228,6.522,223.925,14.070,204,264
229,8.287,239.923,29.339,204,317
230,4.707,244.031,34.494,204,335
231,4.658,221.516,12.206,204,255
232,8.042,244.640,41.899,204,402
233,4.511,254.293,34.233,204,323
234,4.168,235.000,25.734,204,305
235,5.982,233.262,19.955,204,276
236,6.423,229.214,18.338,204,281
237,4.609,222.457,17.131,204,269
238,6.620,244.215,24.960,204,294
239,4.756,255.031,36.621,204,349
240,13.435,245.609,41.996,204,383
241,12.406,234.652,32.300,201,343
242,7.845,224.356,13.074,204,254
243,7.551,226.695,18.077,204,281
244,15.201,263.010,47.204,204,403
245,5.247,225.383,18.599,204,284
246,12.847,257.969,47.890,204,405
247,7.306,234.792,19.104,204,284
248,9.562,243.969,29.860,204,342
249,4.560,256.387,40.130,204,340
250,5.443,269.207,47.833,205,373
251,4.266,259.644,45.658,204,360
252,5.247,247.196,38.964,204,347
253,4.266,223.161,11.707,204,245
254,5.639,253.496,43.706,204,371
255,5.345,237.394,24.896,204,293
256,4.119,269.595,62.014,204,416
257,8.777,232.436,28.847,203,337
258,5.100,239.663,36.467,204,347
259,5.541,277.088,57.957,204,396
260,6.718,266.818,68.370,204,485
261,5.100,247.942,29.818,204,316
262,5.149,269.619,57.265,204,402
263,5.001,234.598,19.397,204,268
264,6.080,248.419,40.445,204,361
265,5.590,235.246,21.513,201,285
266,13.533,235.989,29.117,203,318
267,5.884,236.217,26.088,204,303
268,7.649,253.622,34.251,204,330
269,8.434,232.866,28.817,204,341
270,7.600,238.768,35.823,204,378
271,8.238,251.893,34.466,204,363
272,10.689,233.133,25.489,204,313
273,4.805,231.204,18.237,204,282
274,12.504,246.173,31.105,204,332
275,5.296,245.111,31.890,204,325
276,4.952,230.218,18.413,204,282
277,8.238,236.792,32.643,204,354
278,4.805,250.388,31.945,204,328
279,12.111,237.903,29.430,204,342
280,5.933,250.934,33.325,204,336
