 ,Area,Mean,StdDev,Min,Max
1,8.777,209.877,15.267,191,263
2,5.247,211.860,17.611,191,259
3,5.345,204.523,12.814,191,244
4,5.001,208.127,14.960,191,251
5,4.462,224.143,29.379,191,292
6,4.903,212.790,16.274,191,250
7,4.168,199.059,5.029,191,212
8,9.660,218.655,21.274,192,281
9,4.609,211.734,14.138,191,243
10,9.022,211.299,14.722,191,252
11,4.217,202.791,7.634,191,221
12,4.217,205.547,14.048,190,240
13,4.560,228.323,28.307,191,291
14,4.462,213.319,22.041,191,275
15,4.952,211.228,14.774,191,251
16,6.325,221.558,21.918,191,273
17,5.247,208.850,10.690,192,233
18,5.050,211.068,17.830,191,268
19,5.198,222.179,21.325,191,266
20,6.129,223.280,20.867,191,274
21,8.434,210.651,15.757,191,255
22,6.963,220.542,20.100,191,267
23,4.168,219.800,22.219,191,286
24,4.658,220.284,18.549,191,264
25,9.611,202.719,7.997,191,225
26,7.698,214.178,16.910,191,259
27,17.064,218.971,19.648,191,292
28,5.835,207.370,12.813,191,243
29,7.943,215.784,18.526,191,268
30,6.031,215.943,21.675,191,273
31,8.875,224.856,25.243,191,290
32,4.168,218.706,18.904,191,259
33,6.767,203.652,11.898,191,243
34,4.168,204.624,9.637,191,231
35,4.217,209.477,14.334,191,249
36,4.070,229.181,28.403,191,303
37,4.119,208.702,11.497,191,235
38,11.033,227.720,32.723,191,319
39,4.903,211.040,14.890,191,250
40,4.119,233.714,41.021,191,356
41,4.168,219.647,26.573,188,283
42,14.465,226.563,34.842,185,341
43,4.805,219.296,20.704,191,271
44,4.070,212.542,19.882,192,263
45,11.425,223.112,26.053,191,307
46,22.703,215.469,21.951,191,311
47,4.217,209.930,10.997,191,237
48,4.315,204.773,9.815,191,229
49,5.149,234.848,40.343,191,351
50,5.590,212.605,19.520,191,267
51,5.590,223.605,23.380,192,271
52,5.737,221.538,23.443,191,278
53,4.168,227.035,25.436,191,281
54,4.168,208.376,12.976,191,249
55,4.462,235.396,28.378,191,294
56,4.021,221.829,19.585,191,266
57,4.511,206.000,9.421,191,226
58,5.492,220.661,23.081,191,283
59,5.443,210.099,13.685,191,245
60,6.129,203.632,8.511,191,223
61,5.982,219.811,20.500,191,274
62,4.021,227.000,32.748,191,309
63,4.413,233.400,34.665,191,321
64,4.021,224.280,24.958,191,280
65,4.364,217.584,18.112,191,256
66,4.511,215.326,16.791,191,251
67,4.413,218.178,27.726,191,299
68,5.933,212.727,16.465,191,256
69,4.315,210.739,19.688,188,257
70,4.315,206.023,10.802,191,237
71,10.003,222.564,24.803,191,298
72,6.129,222.728,27.121,191,322
73,6.620,224.978,21.673,191,269
74,6.080,223.113,23.474,191,281
75,4.266,246.966,44.642,191,337
76,4.070,216.494,18.454,191,259
77,8.385,221.415,22.576,191,299
78,10.787,210.018,15.009,191,256
79,4.413,210.022,11.588,191,237
80,4.217,222.709,20.680,191,271
81,7.257,222.047,22.285,191,270
82,5.590,207.430,12.489,191,237
83,5.884,228.642,27.732,191,292
84,5.001,213.863,17.525,191,263
85,4.021,221.512,29.288,191,313
86,5.001,208.922,12.928,191,236
87,6.718,222.453,22.710,191,291
88,8.091,253.933,42.928,192,343
89,4.266,230.782,27.678,191,286
90,5.296,230.444,31.267,191,302
91,6.374,219.669,22.048,191,271
92,8.434,211.058,14.935,191,258
93,11.131,216.969,18.874,191,267
94,14.416,228.847,27.438,191,311
95,4.070,221.627,23.393,191,283
96,4.854,206.778,11.721,191,235
97,5.149,227.667,34.524,191,334
98,11.082,231.425,28.347,191,293
99,8.483,211.110,13.664,191,250
100,4.315,205.580,12.802,191,245
