 ,Area,Mean,StdDev,Min,Max
1,5.786,174.644,7.506,163,194
2,5.443,177.910,10.263,163,204
3,4.560,178.000,11.504,163,205
4,5.149,187.638,21.237,163,236
5,5.149,195.314,26.019,163,253
6,4.070,184.554,16.902,163,229
7,4.119,184.131,14.654,163,217
8,5.050,185.049,16.119,163,223
9,6.718,195.869,27.562,163,266
10,4.070,181.482,15.431,163,219
11,4.756,192.402,20.745,163,235
12,4.903,205.810,37.027,163,292
13,5.688,193.147,28.986,163,272
14,10.493,198.584,26.844,163,265
15,4.707,188.417,21.689,163,245
16,4.266,187.632,19.911,163,235
17,4.609,184.777,20.169,163,233
18,4.315,184.909,18.443,163,228
19,5.247,181.467,14.939,163,216
20,6.178,183.817,16.268,163,222
21,6.816,182.540,16.848,163,226
22,5.688,182.776,18.005,163,244
23,14.318,193.658,26.207,163,289
24,11.817,178.585,12.100,163,214
25,4.413,180.633,16.834,163,229
26,4.266,183.897,17.962,163,222
27,5.247,184.121,18.493,163,235
28,5.786,181.746,14.971,163,219
29,5.149,182.657,17.491,163,227
30,7.355,187.387,26.669,160,273
31,4.511,179.696,13.551,163,214
32,5.688,179.250,13.412,163,208
33,6.031,179.707,13.948,163,213
34,4.707,188.625,22.831,163,244
35,5.492,190.804,24.729,163,249
36,10.199,182.471,16.280,159,234
37,4.560,187.011,20.350,163,235
38,5.198,200.283,38.410,163,307
39,5.296,184.972,18.095,163,235
40,4.217,177.837,11.555,163,205
41,8.434,183.517,18.730,163,234
42,5.884,184.983,21.600,162,243
43,9.611,201.867,36.799,163,315
44,5.492,191.705,26.573,163,255
45,5.345,182.229,17.093,163,230
46,8.287,177.166,11.920,158,208
47,4.952,189.436,25.377,163,268
48,14.514,204.578,47.741,163,336
49,4.903,176.340,11.272,163,199
50,5.345,185.367,20.734,162,242
51,5.541,185.965,19.502,163,242
52,10.150,181.106,14.678,163,217
53,8.826,192.283,26.354,163,260
54,10.346,178.223,14.097,163,212
55,5.443,176.586,12.645,163,212
56,7.208,175.354,11.927,163,219
57,4.707,178.635,16.611,163,234
58,4.070,169.735,5.860,163,184
59,6.129,177.400,14.544,163,223
