 ,Area,Mean,StdDev,Min,Max
1,5.982,190.082,10.782,175,215
2,5.247,195.075,19.052,175,245
3,5.639,191.904,13.311,175,229
4,5.688,184.974,8.210,175,205
5,18.878,185.748,9.478,169,220
6,6.080,182.508,4.752,175,198
7,5.345,196.321,21.756,175,256
8,6.571,197.619,22.271,175,263
9,8.679,209.017,26.664,175,269
10,4.119,202.298,20.489,175,240
11,4.315,186.648,9.314,175,210
12,5.345,186.468,8.575,175,210
13,4.511,198.913,20.308,175,254
14,6.031,196.325,15.472,175,232
15,4.217,201.302,20.908,175,249
16,6.178,186.841,9.206,175,210
17,8.336,197.506,18.490,175,240
18,4.168,201.812,22.912,175,257
19,4.854,195.859,15.667,175,235
20,5.100,193.712,14.559,175,226
21,4.364,206.933,25.172,175,265
22,7.551,213.818,34.019,174,292
23,4.021,202.159,24.546,175,264
24,4.560,199.151,23.084,175,255
25,7.257,211.345,31.652,175,287
26,4.462,204.473,22.639,175,255
27,4.756,203.794,24.132,175,253
28,6.423,191.038,13.230,175,233
29,6.276,191.891,15.752,175,238
30,4.266,192.931,16.028,175,236
31,7.110,191.903,15.652,175,234
32,7.404,190.099,11.034,175,217
33,7.894,192.161,13.401,175,229
34,4.658,195.347,17.077,175,233
35,4.560,197.312,19.869,175,246
36,4.903,187.540,9.883,175,211
37,7.110,190.641,14.483,175,229
38,4.217,191.686,18.101,175,245
39,7.747,204.601,33.769,175,301
40,9.660,199.330,27.355,175,289
41,4.413,192.011,16.377,175,229
42,6.963,188.683,11.689,175,218
43,10.297,188.262,11.655,175,221
44,6.276,188.516,10.662,169,212
45,4.070,184.241,10.145,175,214
46,5.149,204.600,32.908,175,285
47,7.404,187.444,11.347,173,219
48,4.854,192.091,15.043,176,232
49,5.247,181.168,5.035,171,196
50,6.767,202.986,30.399,175,288
51,6.472,188.530,11.753,175,225
52,4.315,197.341,21.477,175,250
53,12.160,180.685,4.782,171,197
54,5.590,182.798,7.066,175,206
55,6.031,196.683,20.588,175,246
56,7.796,181.868,4.562,175,196
57,5.198,191.613,18.490,172,250
58,7.355,186.247,9.461,175,212
59,4.315,181.205,4.974,175,195
60,13.975,196.867,21.013,175,252
61,5.247,183.234,6.855,175,203
62,6.914,187.035,10.558,171,216
63,9.513,186.804,12.594,171,228
64,5.982,190.484,15.638,174,241
65,5.933,193.140,22.019,175,256
66,5.786,180.822,5.270,170,200
67,4.364,178.225,3.686,163,187
68,12.700,193.359,22.924,173,279
69,7.747,186.247,11.584,175,225
70,13.288,191.875,15.726,175,235
71,18.927,192.689,20.165,171,267
72,12.994,185.177,8.429,174,207
73,8.826,187.456,13.267,174,232
74,15.936,188.151,13.328,172,233
75,14.220,196.748,27.966,175,303
76,10.199,191.510,21.978,175,270
77,4.364,179.022,3.772,175,193
78,5.688,176.733,2.723,166,184
79,4.952,176.653,3.315,166,185
80,12.406,197.036,23.829,175,277
81,14.269,197.550,20.206,175,249
82,24.811,195.502,21.881,171,265
83,4.756,177.979,2.537,171,186
84,4.609,191.149,14.913,175,233
85,13.484,185.560,9.955,170,221
86,11.376,185.711,8.364,175,210
87,6.178,206.714,33.276,175,293
88,10.689,190.344,19.498,173,259
89,14.906,190.776,16.586,175,242
90,13.926,183.926,7.626,175,208
91,5.492,177.804,2.704,171,186
92,17.113,184.696,7.749,169,215
93,5.982,182.443,6.602,173,203
94,6.522,178.301,3.177,167,190
95,19.957,183.125,7.212,172,214
96,5.835,206.471,30.457,175,275
97,14.220,184.517,8.955,168,217
98,4.266,199.529,18.227,175,245
99,4.511,194.598,16.567,175,240
100,9.856,183.517,6.534,175,202
101,16.623,186.280,11.935,168,228
102,7.355,178.293,3.084,170,191
103,7.796,186.497,10.193,175,220
104,6.816,186.835,12.074,175,229
105,11.768,194.192,26.540,173,306
106,20.790,186.000,13.527,168,241
107,21.330,201.754,21.830,175,261
108,4.854,178.051,3.118,175,192
109,5.394,180.136,4.469,175,192
