 ,Area,Mean,StdDev,Min,Max
1,7.257,182.277,7.155,170,203
2,4.952,186.178,9.120,172,211
3,4.266,201.414,22.831,172,258
4,4.903,204.870,25.416,172,266
5,4.266,193.011,17.445,172,237
6,9.709,192.717,15.211,172,231
7,4.805,199.561,20.837,172,247
8,5.050,214.660,37.009,172,300
9,5.639,204.348,29.631,172,282
10,6.620,208.363,26.058,172,270
11,4.462,197.055,20.628,172,248
12,4.168,195.788,20.789,172,253
13,6.865,187.307,11.210,172,222
14,4.756,190.835,15.511,172,237
15,13.730,198.664,24.915,172,289
16,5.835,193.597,15.188,172,224
17,6.963,205.768,28.202,172,286
18,4.364,200.079,23.614,172,261
19,25.988,205.683,28.665,172,302
20,6.178,182.183,7.725,170,203
21,8.042,178.726,4.686,172,197
22,11.180,188.364,12.427,172,224
23,4.217,190.640,17.455,172,234
24,4.364,192.640,16.706,172,234
25,26.135,183.932,9.408,167,210
26,4.903,195.270,18.476,172,238
27,5.933,189.702,15.240,172,227
28,4.756,192.804,17.689,172,242
29,6.816,198.058,28.427,172,291
30,4.070,189.506,14.024,172,221
31,4.511,187.054,14.442,172,223
32,5.688,187.638,13.508,172,224
33,6.522,189.158,14.525,172,231
34,4.756,197.052,23.296,172,256
35,5.100,201.577,24.482,172,263
36,9.660,192.371,15.909,172,232
37,4.903,193.030,18.826,172,237
38,6.865,195.321,23.750,172,260
39,8.189,202.623,29.299,172,275
40,5.100,207.837,38.165,172,310
41,4.952,193.851,16.696,172,231
42,7.993,192.025,16.243,172,231
43,9.905,209.812,35.851,172,318
44,5.050,196.136,20.743,172,247
45,5.149,191.590,16.956,169,237
46,5.149,201.514,24.965,172,259
47,7.257,185.899,11.357,172,211
48,5.541,196.018,24.000,172,264
49,11.425,219.382,48.715,172,341
50,6.816,195.489,21.298,172,253
51,5.394,185.464,11.584,172,214
52,5.149,193.676,20.297,172,242
53,7.894,194.913,22.520,172,255
54,5.247,194.766,19.640,172,245
55,8.581,190.737,14.057,172,224
56,7.649,202.218,24.900,172,270
57,6.816,194.317,22.124,172,272
58,9.464,189.430,13.986,172,224
59,4.707,186.000,12.241,172,221
60,6.620,184.281,10.784,172,211
61,4.560,187.581,15.093,172,227
62,6.914,185.794,15.570,172,236
63,4.119,192.940,18.883,172,238
64,5.933,181.463,7.728,172,210
65,23.929,194.193,20.542,165,278
66,5.933,183.479,10.883,172,212
67,5.198,192.906,20.114,172,241
68,6.718,195.891,23.654,172,255
69,7.502,181.536,7.111,169,201
70,4.266,202.690,25.629,172,266
71,6.423,204.099,30.261,172,297
72,8.483,187.318,15.133,172,234
73,5.443,185.910,11.836,172,218
74,7.257,193.608,20.156,172,244
75,6.031,197.829,28.164,172,282
76,17.848,194.173,21.177,164,255
77,4.119,180.952,8.211,171,202
78,8.532,182.753,8.511,172,206
79,9.709,182.869,9.770,168,212
80,6.031,185.894,15.471,172,232
81,7.355,182.853,8.558,170,211
82,4.560,179.957,6.405,172,199
83,5.639,187.965,17.644,172,254
84,6.227,188.622,16.536,172,243
85,10.738,189.712,17.313,172,252
86,5.394,196.709,27.409,171,273
87,5.982,186.197,15.555,167,231
88,9.267,198.974,35.935,170,326
89,15.936,189.142,18.366,168,258
90,6.080,179.460,5.408,172,193
91,7.943,213.648,44.039,172,333
92,10.591,181.019,7.581,170,204
93,4.511,174.880,3.271,168,186
94,12.455,181.803,9.380,166,213
95,6.620,186.222,12.034,172,219
96,5.541,182.531,9.759,172,214
97,13.730,187.929,15.786,165,231
98,4.658,177.653,4.500,168,191
99,8.385,182.398,7.145,172,203
100,9.365,188.932,16.693,172,239
101,18.388,190.672,19.870,170,294
102,9.022,182.038,7.649,172,202
103,5.688,198.595,26.416,172,277
104,6.963,180.070,6.585,171,201
105,8.875,196.232,24.859,172,285
106,14.367,195.850,28.695,168,304
107,9.415,184.641,13.204,172,222
108,4.413,210.078,37.507,172,298
109,9.071,180.227,7.017,164,205
110,5.247,184.009,9.772,172,214
111,7.993,183.798,11.731,170,219
112,11.719,191.594,22.311,172,267
113,7.502,177.922,4.282,169,190
114,11.572,184.343,9.313,172,214
115,13.435,186.500,12.456,172,222
116,11.131,186.269,13.029,172,223
117,4.364,176.517,4.640,158,191
118,23.242,197.504,23.928,172,263
119,15.004,191.062,17.596,168,247
120,4.021,182.939,9.634,172,206
121,5.786,179.339,6.007,170,196
122,5.001,180.500,7.253,172,202
123,12.357,181.643,7.299,172,204
