 ,Area,Mean,StdDev,Min,Max
1,4.658,216.463,15.479,194,253
2,5.100,204.894,7.831,194,227
3,6.031,206.537,10.430,186,242
4,6.325,219.519,17.161,194,257
5,4.511,222.315,18.034,194,264
6,4.609,206.266,9.841,194,232
7,7.502,212.980,15.302,194,261
8,4.511,211.946,12.365,194,233
9,5.541,224.841,27.720,194,294
10,5.149,220.733,17.883,194,269
11,8.140,236.482,25.178,194,281
12,4.070,202.711,7.164,194,220
13,4.168,213.129,14.483,194,246
14,4.707,244.052,39.764,195,326
15,10.297,226.143,25.909,194,327
16,5.100,214.048,13.595,194,245
17,4.462,230.538,29.251,194,295
18,5.443,218.775,17.192,194,257
19,4.609,220.330,19.791,195,266
20,8.532,236.190,43.680,194,380
21,6.669,226.360,27.776,194,303
22,4.511,247.489,38.287,194,329
23,4.462,229.736,25.572,194,286
24,5.198,242.047,39.073,194,327
25,8.287,259.627,71.604,194,465
26,13.288,226.701,24.375,194,296
27,5.247,230.019,27.113,194,299
28,4.413,204.500,7.466,194,230
29,6.178,240.460,32.135,194,323
30,4.315,220.170,21.252,194,276
31,4.952,250.614,38.919,196,326
32,5.247,234.093,29.664,194,311
33,4.217,216.686,17.325,194,260
34,4.021,222.646,19.071,194,270
35,8.679,219.831,22.695,194,297
36,4.266,219.276,17.585,194,259
37,4.903,240.870,37.509,194,336
38,5.443,233.000,32.451,194,307
39,4.560,223.742,26.083,194,300
40,4.854,254.788,66.039,194,437
41,4.364,258.169,57.838,194,388
42,4.609,234.117,31.463,194,319
43,4.070,224.398,33.689,194,331
44,5.688,232.112,28.450,194,295
45,6.031,240.707,41.943,194,347
46,4.021,230.476,28.119,195,294
47,4.952,228.861,24.758,194,280
48,5.296,217.704,15.643,195,255
49,4.168,237.388,36.507,194,327
50,5.639,232.922,38.385,194,352
51,5.050,231.650,33.101,194,320
52,4.462,220.154,21.476,194,273
53,5.050,236.029,32.450,194,327
54,4.413,236.544,30.328,194,302
55,5.394,228.018,23.602,194,276
56,4.511,264.598,54.595,195,379
57,7.993,232.534,26.813,194,300
58,11.131,219.841,32.229,194,354
59,6.325,238.023,29.335,194,300
60,5.884,226.183,24.891,194,297
61,4.609,231.372,29.404,194,309
62,8.336,222.041,22.962,194,292
63,5.296,217.380,16.860,194,266
64,4.903,285.840,103.791,194,571
65,7.796,247.145,45.694,194,359
66,8.189,222.186,19.721,194,284
67,6.374,249.692,38.201,194,329
68,7.453,230.684,35.471,195,336
69,4.609,214.989,17.645,194,266
70,4.217,226.209,22.014,194,274
71,7.600,238.284,47.068,194,382
72,9.316,239.458,58.016,194,454
73,5.345,276.606,81.975,194,486
74,9.120,253.355,68.642,194,510
75,4.658,216.400,17.894,194,255
76,5.590,236.228,30.298,194,303
77,4.952,235.455,27.302,194,292
78,8.875,240.050,48.481,194,386
79,5.394,243.864,36.621,195,327
80,5.884,238.442,33.107,194,321
81,8.728,228.202,23.582,194,276
82,9.316,216.789,22.624,194,282
83,4.903,214.610,15.172,194,253
84,5.590,245.535,40.856,195,337
85,5.786,227.246,29.749,194,307
86,5.835,226.160,31.429,194,314
87,7.894,228.342,24.734,194,290
88,4.511,236.717,35.858,194,328
89,4.462,217.374,19.730,194,271
90,9.218,237.798,45.309,194,371
91,20.055,239.489,35.432,194,375
92,5.982,243.574,41.945,194,341
93,4.952,238.356,31.716,196,303
94,4.070,234.277,37.000,195,331
95,7.551,221.169,25.376,194,285
96,5.639,227.287,29.390,194,310
97,4.854,212.374,13.588,194,249
98,5.100,207.029,9.631,194,242
99,5.982,239.992,40.052,194,358
100,4.805,220.429,24.786,194,296
101,4.952,218.931,17.660,194,262
102,4.021,211.951,12.326,194,238
103,9.562,206.821,8.445,194,230
104,4.168,244.294,37.580,194,323
105,6.472,237.856,32.596,194,327
106,4.413,218.444,17.334,194,256
107,6.129,235.080,38.846,194,330
108,7.453,250.750,72.188,194,500
109,6.178,221.651,22.118,194,278
110,5.884,245.100,55.122,194,395
111,4.462,226.264,27.039,194,303
112,5.688,220.750,19.835,194,263
113,8.238,224.244,23.986,194,297
114,6.718,227.365,29.395,194,307
115,9.758,242.276,48.756,194,407
116,4.070,214.735,15.825,194,260
