 ,Area,Mean,StdDev,Min,Max
1,5.149,206.257,14.015,188,240
2,4.217,208.116,12.002,188,233
3,6.178,206.778,13.236,188,244
4,6.914,202.071,10.410,188,230
5,6.865,207.336,12.703,188,243
6,6.374,210.638,17.053,188,251
7,4.021,198.939,7.835,188,218
8,5.149,232.657,29.421,188,288
9,5.345,222.284,27.196,188,281
10,4.070,200.241,7.797,188,218
11,12.258,247.020,64.770,188,514
12,5.835,211.277,24.064,186,274
13,5.050,198.534,7.649,188,216
14,5.345,218.477,23.686,186,274
15,5.198,208.698,14.092,189,243
16,6.178,232.476,40.336,188,361
17,4.168,199.494,14.045,184,241
18,4.315,228.909,39.699,188,324
19,7.600,210.265,16.283,188,252
20,6.276,258.711,65.029,188,406
21,8.091,202.006,10.426,188,235
22,12.160,223.073,33.698,188,329
23,5.394,206.945,14.453,188,242
24,8.385,210.333,18.450,188,260
25,4.609,194.947,5.878,188,214
26,5.737,224.359,31.447,188,299
27,5.982,206.180,15.076,188,248
28,5.982,220.008,30.108,188,306
29,5.149,204.695,12.848,188,240
30,4.805,196.316,5.904,188,215
31,6.472,213.091,22.109,188,268
32,4.511,209.815,18.176,188,250
33,20.055,213.010,39.108,182,412
34,13.680,206.656,14.179,188,240
35,4.021,198.354,9.270,188,221
36,8.581,202.257,10.735,188,227
37,6.816,202.525,11.123,188,231
38,12.847,201.122,9.826,188,229
39,4.560,197.785,7.376,188,216
40,9.218,218.872,24.802,183,280
41,6.178,199.079,8.307,188,222
42,5.050,206.874,17.030,188,254
43,4.903,215.860,25.834,188,286
44,8.434,206.134,14.683,188,239
45,4.854,195.030,4.860,188,207
46,5.394,199.509,9.091,188,227
47,5.394,199.809,9.816,188,225
48,4.952,202.822,13.298,185,238
49,4.217,204.535,15.195,188,245
50,4.952,195.693,6.823,188,214
51,10.150,209.807,17.407,188,254
52,7.747,214.259,20.673,188,272
