 ,Area,Mean,StdDev,Min,Max
1,5.786,190.602,10.541,176,222
2,4.462,189.000,10.917,176,215
3,5.247,195.850,18.653,176,246
4,5.100,192.144,12.412,176,220
5,4.707,185.698,7.760,176,209
6,5.394,197.445,21.587,176,263
7,6.374,198.154,21.656,176,255
8,8.777,194.715,16.441,175,239
9,4.462,195.000,14.924,176,236
10,7.796,211.686,25.676,176,268
11,4.266,202.310,20.449,176,252
12,4.021,187.939,8.671,176,209
13,4.854,187.010,8.499,176,210
14,4.168,198.600,19.919,176,246
15,4.070,188.904,10.151,176,214
16,4.511,196.902,19.888,172,247
17,5.835,197.101,15.056,176,233
18,4.609,188.979,10.095,176,216
19,5.296,188.796,9.227,176,218
20,8.385,197.567,18.044,176,239
21,4.462,196.956,15.985,177,237
22,5.737,204.632,25.590,176,269
23,5.050,194.893,15.170,176,229
24,7.943,189.821,10.282,176,227
25,4.805,210.276,30.285,176,287
26,4.266,207.667,26.765,176,265
27,4.266,183.770,5.888,176,200
28,6.963,216.387,32.378,176,278
29,4.756,197.474,16.916,176,241
30,7.306,210.664,31.488,176,284
31,4.609,195.362,14.612,176,229
32,4.364,206.708,23.002,176,257
33,4.266,205.207,23.452,176,255
34,8.581,184.486,5.267,176,197
35,8.630,205.239,23.438,176,258
36,8.728,183.899,5.374,176,197
37,5.443,191.261,12.387,176,221
38,6.178,196.643,16.684,176,239
39,6.914,190.603,10.599,176,218
40,7.159,192.911,14.090,176,229
41,4.364,197.281,17.714,176,237
42,4.560,197.032,18.977,176,239
43,4.364,188.753,10.220,176,220
44,6.178,193.294,15.162,176,237
45,6.031,211.447,36.624,176,314
46,4.511,200.359,23.364,176,261
47,9.464,199.699,26.950,176,295
48,4.364,194.303,18.416,175,241
49,9.169,188.369,10.343,176,220
50,9.611,190.423,11.043,176,221
51,5.884,188.325,10.328,174,211
52,4.168,181.812,4.176,176,193
53,4.119,210.286,33.219,176,286
54,7.747,190.500,13.517,176,228
55,6.865,188.379,10.018,168,211
56,4.462,192.626,15.573,176,228
57,6.865,203.564,29.506,176,285
58,5.835,189.689,11.555,176,223
59,4.168,199.776,23.031,176,258
60,9.807,182.705,5.702,170,200
61,5.492,183.402,6.676,176,202
62,6.325,196.341,22.038,172,261
63,5.884,191.325,16.859,169,248
64,5.933,188.231,10.348,176,216
65,4.756,181.216,4.141,173,193
66,13.239,198.400,21.818,164,264
67,4.756,183.423,7.154,172,209
68,6.178,188.024,10.577,176,215
69,7.551,188.792,13.177,176,226
70,4.462,192.978,16.004,176,236
71,4.658,199.726,25.903,176,270
72,4.805,182.918,6.411,176,201
73,5.639,187.800,11.233,176,227
74,5.050,181.427,4.363,176,196
75,6.963,198.394,23.892,176,270
76,17.995,190.142,13.565,174,235
77,6.276,194.352,25.011,176,283
78,6.522,188.128,12.695,174,229
79,10.493,227.453,66.346,176,410
80,11.621,193.489,15.903,176,236
81,4.707,185.188,9.254,169,216
82,14.808,196.613,20.763,171,254
83,13.043,185.474,8.353,176,212
84,7.208,189.714,14.929,176,237
85,10.346,205.412,31.641,173,297
86,14.514,189.848,13.631,172,230
87,7.993,195.939,23.229,176,273
88,7.208,200.741,21.472,176,257
89,11.278,201.722,29.762,171,308
90,13.239,186.063,9.283,173,212
91,12.455,196.961,23.277,171,276
92,17.995,199.150,21.471,174,257
93,4.805,179.347,3.265,173,189
94,6.914,186.688,9.320,172,219
95,7.208,180.973,4.341,162,193
96,16.770,185.950,10.352,172,224
97,4.266,193.989,17.050,176,246
98,22.556,195.502,18.866,169,249
99,17.897,190.296,13.229,176,235
100,5.394,210.755,33.251,176,302
101,8.336,194.659,21.721,172,266
102,14.759,191.478,15.017,174,242
103,7.355,178.260,3.161,163,188
104,20.790,190.236,12.645,172,228
105,5.884,182.858,6.338,168,203
106,14.465,184.447,7.128,171,207
107,15.838,184.734,7.139,175,211
108,16.279,200.611,24.690,176,279
109,14.269,188.897,11.182,176,221
110,8.875,178.801,3.133,169,189
111,11.670,185.916,8.395,169,214
112,5.050,180.515,3.868,176,191
113,8.238,186.256,9.525,175,215
114,13.877,188.187,11.674,176,228
115,6.963,183.120,6.765,173,208
116,7.306,186.711,11.592,176,228
117,13.337,185.489,8.907,173,211
118,8.140,199.217,29.765,176,303
119,20.937,201.979,21.899,176,268
120,13.631,189.086,14.781,169,243
121,5.198,180.519,4.209,176,194
