 ,Area,Mean,StdDev,Min,Max
1,20.1,217.196,15.176,195,253
2,14.707,205.719,7.575,195,227
3,5.639,207.409,10.180,195,242
4,16.129,220.336,16.802,195,257
5,14.315,223.602,17.368,195,264
6,14.168,207.529,9.500,195,232
7,18.2061,214.097,15.078,195,261
8,14.364,212.551,12.114,195,233
9,15.296,226.315,27.477,195,294
10,5.100,220.990,17.773,195,269
11,17.993,237.264,24.732,195,281
12,4.756,202.082,6.911,187,220
13,4.021,213.829,14.265,195,246
14,4.658,244.389,39.837,195,326
15,10.150,226.609,25.802,195,327
16,15.001,214.441,13.430,195,245
17,4.217,232.640,28.716,195,295
18,5.345,219.229,17.014,195,257
19,4.609,220.330,19.791,195,266
20,8.189,237.922,43.740,195,380
21,6.472,227.364,27.580,195,303
22,4.364,249.292,37.617,196,329
23,4.315,230.955,25.119,195,286
24,4.952,244.426,38.495,195,327
25,8.140,260.819,71.692,195,465
26,12.994,227.442,24.141,195,296
27,5.100,231.058,26.789,195,299
28,4.168,205.176,7.147,195,230
29,5.982,241.984,31.514,195,323
30,4.021,222.085,20.752,195,276
31,4.952,250.614,38.919,196,326
32,5.149,234.857,29.417,195,311
33,4.168,219.871,17.350,195,259
34,7.943,221.772,22.684,195,297
35,4.805,241.827,37.279,195,336
36,15.884,231.058,31.925,195,307
37,4.462,224.396,25.987,195,300
38,4.707,256.688,66.170,195,437
39,4.266,259.644,57.663,195,388
40,4.511,234.989,31.233,195,319
41,5.590,232.781,28.242,196,295
42,5.982,241.090,41.900,195,347
43,4.021,230.476,28.119,195,294
44,4.854,229.566,24.498,196,280
45,5.296,217.704,15.643,195,255
46,4.021,238.951,36.222,195,327
47,5.541,233.611,38.369,195,352
48,5.149,231.048,33.066,195,320
49,4.315,221.045,21.278,195,273
50,4.952,236.861,32.219,195,327
51,4.364,237.022,30.157,195,302
52,5.247,228.972,23.219,195,276
53,4.511,264.598,54.595,195,379
54,7.796,233.503,26.431,195,300
55,10.837,220.511,32.401,195,354
56,16.276,238.367,29.188,195,300
57,5.835,226.454,24.819,196,297
58,4.560,231.774,29.302,195,309
59,4.021,213.537,18.345,195,259
60,7.943,223.358,22.716,195,292
61,5.247,217.598,16.785,195,266
62,4.805,287.714,104.006,195,571
63,7.649,248.167,45.526,195,359
64,8.091,222.527,19.592,195,284
65,6.227,251.008,37.663,195,329
66,7.453,230.684,35.471,195,336
67,4.119,226.976,21.696,195,274
68,7.355,239.760,47.135,195,382
69,9.120,240.435,58.249,195,454
70,5.296,277.370,81.966,195,486
71,5.982,274.016,76.455,195,510
72,4.658,216.484,17.794,195,255
73,4.854,236.293,26.923,195,292
74,5.541,236.602,30.168,195,303
75,8.777,240.564,48.505,195,386
76,5.394,243.864,36.621,195,327
77,5.835,238.815,32.992,195,321
78,8.483,229.173,23.206,195,276
79,9.169,217.209,22.566,195,282
80,5.590,245.535,40.856,195,337
81,5.688,227.879,29.620,191,307
82,5.590,227.570,31.365,195,314
83,7.747,228.994,24.505,195,290
84,4.462,237.187,35.772,195,328
85,4.217,218.721,19.461,195,271
86,8.875,239.282,45.489,195,371
87,19.957,239.838,35.279,195,375
88,5.835,244.840,41.694,195,341
89,4.952,238.356,31.716,196,303
90,4.119,233.917,36.925,195,331
91,7.404,221.669,25.372,195,285
92,5.590,227.579,29.352,195,310
93,4.707,212.948,13.396,195,249
94,4.854,207.657,9.441,195,242
95,5.835,241.151,39.872,195,358
96,4.756,220.701,24.766,195,296
97,5.296,217.954,17.492,195,262
98,9.218,207.298,8.223,195,230
99,4.119,244.893,37.395,195,323
100,6.423,238.191,32.493,195,327
101,4.119,220.190,16.611,195,256
102,5.835,237.092,38.737,195,330
103,7.257,252.291,72.541,195,500
104,5.884,223.033,21.758,195,278
105,15.541,248.212,55.322,195,395
106,8.315,227.364,26.817,195,303
107,5.541,221.460,19.604,195,263
108,8.042,224.982,23.800,195,297
109,26.571,228.112,29.289,195,307
110,9.660,242.807,48.719,195,407
111,5.001,223.078,20.520,195,273
