 ,Area,Mean,StdDev,Min,Max
1,6.080,193.242,18.137,171,246
2,5.933,189.198,13.002,173,219
3,6.472,192.742,21.554,173,269
4,4.266,198.885,20.950,173,241
5,6.129,184.008,8.506,173,205
6,5.001,195.265,20.209,173,249
7,4.217,187.023,10.869,173,218
8,4.511,191.283,17.384,173,234
9,6.080,195.145,14.328,173,231
10,4.511,198.543,21.468,173,242
11,7.796,190.987,15.541,169,245
12,4.217,197.360,20.394,173,240
13,4.364,196.079,19.077,173,239
14,4.413,195.022,20.236,173,244
15,4.462,200.560,26.106,173,265
16,4.119,189.119,12.453,173,217
17,6.227,191.921,16.957,173,236
18,6.129,191.320,16.116,173,231
19,5.247,202.327,25.351,173,263
20,5.590,181.342,6.470,173,200
21,7.649,211.462,33.892,173,282
22,4.462,198.945,24.199,173,258
23,4.952,196.317,20.813,173,252
24,9.120,203.081,31.012,173,284
25,5.050,201.466,25.198,173,261
26,6.080,198.774,24.892,173,272
27,5.835,178.345,3.614,173,189
28,4.070,202.855,29.921,173,287
29,7.453,192.375,17.081,173,240
30,7.355,190.800,14.871,173,230
31,4.315,178.693,4.725,173,192
32,9.365,188.361,14.286,170,226
33,5.149,195.019,18.716,173,240
34,5.100,193.865,17.647,173,242
35,4.658,190.547,19.143,165,243
36,7.404,189.735,15.569,173,227
37,5.149,175.752,3.186,165,188
38,4.413,189.989,17.422,173,235
39,4.413,197.789,25.714,173,264
40,13.582,194.823,26.309,168,309
41,5.492,188.964,17.428,169,240
42,4.021,182.098,7.025,173,202
43,7.993,187.436,13.687,170,226
44,10.837,187.665,12.107,173,225
45,7.159,186.692,12.150,173,223
46,7.894,175.441,2.505,167,182
47,4.119,181.679,7.848,170,204
48,5.786,181.864,9.816,173,212
49,6.080,189.984,16.816,164,239
50,5.443,205.532,30.569,173,282
51,6.178,188.024,13.059,173,224
52,4.364,197.382,23.321,173,256
53,10.640,179.594,5.714,167,205
54,4.413,175.900,3.233,170,189
55,10.787,181.418,8.355,168,209
56,5.247,175.626,3.122,166,187
57,7.943,191.062,20.090,166,246
58,9.267,181.317,5.984,173,198
59,11.817,200.822,33.558,173,329
60,7.600,185.116,10.090,173,213
61,8.973,177.852,4.988,162,197
62,10.444,185.408,13.254,168,228
63,16.966,193.243,22.077,162,267
64,6.816,181.561,7.285,173,201
65,8.140,188.771,22.402,170,271
66,9.660,183.030,11.226,166,218
67,4.707,180.448,4.526,173,191
68,5.786,188.415,15.471,173,234
69,10.542,207.581,33.117,173,297
70,6.620,182.341,6.383,166,210
71,23.634,182.575,5.574,171,197
72,4.413,175.589,2.820,169,184
73,18.290,178.212,4.609,170,194
74,8.385,194.304,23.800,173,273
75,12.357,182.143,11.261,165,228
76,5.394,178.473,4.735,168,195
77,5.492,177.188,4.123,173,192
78,4.609,179.043,6.149,172,201
79,4.217,176.919,3.340,169,188
80,4.756,176.948,3.754,173,187
81,5.541,176.920,3.249,172,186
82,19.466,190.577,20.906,171,268
83,4.364,175.820,2.640,173,183
84,7.453,178.586,4.818,173,194
85,4.805,176.020,2.686,173,185
86,13.386,183.769,13.574,168,242
87,24.566,186.661,11.914,168,226
88,6.963,178.641,5.436,166,200
89,5.688,174.353,2.967,161,180
90,15.397,193.650,26.848,162,303
91,4.462,174.923,3.056,165,183
92,10.444,176.230,3.263,167,192
93,8.238,178.655,4.614,173,192
94,8.777,176.341,3.259,169,187
95,15.004,196.683,20.928,173,251
96,11.572,176.589,3.665,161,189
97,4.070,177.880,3.833,173,191
98,19.466,189.703,20.248,172,254
99,5.492,175.384,2.586,167,185
100,5.835,174.882,3.136,163,183
101,11.033,193.231,29.198,171,290
102,5.345,175.541,2.398,171,186
103,7.993,178.362,4.067,170,190
104,4.805,177.439,3.761,173,189
105,11.278,189.213,20.234,168,262
106,19.368,189.339,17.529,173,250
107,13.239,177.100,4.068,168,188
108,4.168,175.094,3.157,159,184
109,23.683,180.128,7.223,167,206
110,11.082,179.960,6.882,169,203
111,6.080,177.597,3.827,169,190
112,4.266,175.391,3.123,167,189
113,7.502,176.405,3.018,169,187
114,8.042,175.604,2.473,171,184
115,20.496,194.600,24.449,170,287
116,5.835,175.429,2.717,163,184
117,8.973,175.454,2.916,162,184
118,8.679,174.915,2.765,163,183
119,4.070,175.831,2.913,170,183
120,4.609,177.521,3.158,171,188
121,17.407,183.065,9.145,169,213
122,4.903,175.170,2.941,164,183
123,4.903,175.220,2.368,169,184
124,4.609,175.053,2.674,167,188
125,5.590,177.123,3.773,173,189
126,15.740,180.642,8.794,163,210
127,12.111,181.591,10.967,169,235
128,6.571,175.321,2.586,167,183
129,17.309,179.068,7.032,168,210
130,11.131,192.595,28.385,167,299
131,7.061,175.521,2.511,169,185
132,14.955,185.056,15.554,166,256
133,5.198,176.047,2.744,170,184
134,5.737,174.803,2.711,164,186
135,6.620,176.556,3.422,166,189
136,5.933,175.025,2.475,167,183
137,5.001,179.265,4.389,170,190
138,4.266,175.690,3.222,160,184
139,6.227,174.890,2.985,166,185
140,4.707,174.885,3.276,164,186
141,4.070,175.422,2.209,173,182
