 ,Area,Mean,StdDev,Min,Max
1,5.639,200.835,10.885,182,228
2,4.413,226.033,29.432,190,296
3,5.100,220.740,19.658,190,258
4,4.266,202.241,8.968,190,229
5,6.374,206.577,12.940,190,244
6,4.413,229.389,29.844,190,306
7,4.021,212.463,16.196,190,253
8,4.217,230.198,24.258,191,268
9,4.658,220.463,21.227,190,266
10,4.413,217.433,20.539,190,264
11,5.100,221.740,25.720,190,284
12,5.345,220.835,32.151,190,322
13,4.070,217.530,25.384,190,290
14,6.718,218.387,19.511,190,271
15,5.737,239.453,48.459,190,380
16,4.168,223.906,21.251,190,266
17,6.080,219.702,25.572,190,308
18,4.413,201.244,7.046,189,220
19,5.443,234.703,36.950,190,319
20,11.131,244.066,66.687,190,468
21,4.413,218.222,22.812,190,271
22,4.217,230.035,39.081,190,321
23,5.247,199.832,8.971,190,236
24,4.217,211.674,16.903,190,252
25,4.168,212.694,17.199,190,249
26,6.276,224.297,25.007,190,288
27,5.050,256.816,76.878,190,484
28,5.982,225.049,25.260,190,285
29,4.854,203.657,10.104,190,232
30,5.884,217.375,20.196,190,265
31,6.816,229.835,40.693,190,336
32,4.560,232.892,37.669,190,329
33,4.315,225.307,29.345,190,293
34,5.345,218.917,22.214,190,274
35,5.296,252.602,46.442,190,355
36,10.493,221.804,34.824,190,352
37,4.021,238.415,38.877,190,324
38,4.560,263.817,66.895,190,418
39,4.658,232.537,34.291,191,309
40,4.658,209.863,13.936,190,246
41,4.021,220.451,29.657,190,293
42,4.070,212.277,20.941,190,266
43,4.364,211.360,14.468,190,250
44,4.462,226.055,35.682,190,326
45,4.560,237.000,37.193,190,320
46,7.649,255.712,54.150,191,377
47,4.805,201.439,8.153,190,220
48,5.001,242.206,42.643,190,330
49,4.217,207.674,14.471,190,245
50,9.807,229.025,35.415,190,347
51,5.639,208.635,14.942,190,255
52,8.336,215.588,33.195,190,333
53,4.658,232.463,44.445,190,351
54,8.924,217.357,19.884,190,263
55,4.315,215.716,23.296,190,278
56,5.982,240.434,37.708,190,332
57,4.266,221.552,27.719,190,287
58,4.070,217.831,18.719,191,263
59,5.590,210.000,14.931,190,249
60,5.149,236.610,56.263,190,400
61,4.070,221.843,25.867,190,281
62,11.621,215.827,17.604,190,265
63,4.070,214.494,18.089,190,257
64,5.639,224.235,26.777,190,288
65,8.091,222.679,29.146,190,293
66,7.012,220.671,29.960,190,314
67,10.493,222.047,25.772,190,306
68,12.062,203.809,8.663,190,224
69,10.003,212.025,17.372,190,265
70,5.590,236.912,31.285,190,301
71,4.511,236.391,35.540,190,333
72,6.129,201.784,8.797,190,233
73,4.560,202.871,9.798,190,228
74,5.492,218.232,21.534,190,268
75,9.464,225.860,41.275,190,355
76,7.110,223.979,26.806,190,296
77,5.198,213.028,15.881,190,244
78,5.982,231.115,30.962,190,303
79,9.807,252.575,55.268,190,402
80,4.119,243.071,37.855,190,333
81,4.119,228.595,34.863,190,321
82,5.786,217.059,20.897,190,269
83,4.560,206.290,11.262,190,238
84,7.012,223.734,22.327,190,273
85,12.798,245.900,68.995,190,506
86,5.443,215.099,16.012,190,250
87,7.747,233.709,30.651,190,315
88,5.394,211.773,17.103,190,255
89,5.982,215.607,18.263,190,265
90,4.266,219.586,22.228,190,281
