 ,Area,Mean,StdDev,Min,Max
1,4.119,217.810,22.163,186,267
2,5.835,197.975,10.446,186,228
3,4.070,191.711,4.525,186,205
4,4.266,203.885,13.314,186,233
5,4.560,205.634,14.980,186,248
6,5.688,210.517,15.958,186,251
7,4.413,222.156,27.805,186,286
8,4.364,198.157,8.698,186,220
9,4.413,200.544,10.370,186,226
10,15.740,198.589,10.224,183,234
11,4.756,225.031,27.362,186,275
12,4.315,216.057,21.084,186,259
13,4.217,203.744,11.697,186,233
14,4.119,223.048,34.290,186,309
15,4.364,215.562,19.995,186,263
16,5.835,232.345,49.895,186,381
17,4.364,211.472,24.654,186,281
18,10.689,239.202,68.172,186,474
19,4.903,212.260,19.461,186,270
20,6.963,218.796,21.344,187,269
21,5.884,197.867,8.689,184,226
22,4.070,229.313,37.943,186,320
23,4.952,227.248,31.063,186,313
24,4.952,234.050,41.357,186,335
25,4.119,222.536,27.570,186,279
26,4.756,230.825,42.092,186,336
27,6.178,204.135,13.323,186,242
28,4.658,229.526,37.290,186,325
29,4.168,226.882,33.778,186,308
30,4.658,254.663,57.319,186,387
31,6.865,242.014,46.432,186,346
32,5.492,205.321,12.900,186,235
33,6.522,226.143,31.609,186,324
34,6.080,228.669,38.589,186,337
35,8.336,212.035,23.980,186,293
36,5.296,256.361,57.046,186,368
37,4.952,199.050,10.133,186,223
38,6.031,218.715,27.962,186,279
39,6.325,210.574,18.202,186,257
40,9.022,225.005,34.762,186,352
41,6.129,212.264,24.470,186,286
42,9.562,203.641,15.434,186,249
43,6.423,236.870,39.704,186,315
44,4.560,211.935,19.670,186,257
45,4.952,218.396,30.111,186,299
46,6.374,205.815,15.066,186,249
47,4.511,199.696,11.288,186,230
48,4.511,213.750,27.911,186,292
49,7.600,216.058,23.205,186,283
50,4.217,234.930,41.867,187,339
51,12.553,234.738,50.012,186,373
52,4.364,218.876,24.301,186,284
53,8.091,221.770,23.054,186,276
54,4.462,205.044,14.085,186,240
55,5.835,235.571,57.024,186,413
56,5.198,211.302,18.229,186,255
57,11.229,209.319,14.481,186,250
58,5.786,202.864,13.707,186,240
59,6.129,224.936,28.867,187,301
60,5.443,241.892,44.985,186,346
61,8.483,206.775,20.108,186,277
62,4.511,200.609,10.823,186,226
63,4.021,228.073,38.576,186,320
64,5.001,224.931,30.508,186,298
65,9.464,209.912,19.949,186,273
66,7.502,212.680,22.255,186,278
67,4.070,219.458,23.817,188,268
68,7.061,215.222,28.375,182,290
69,8.728,196.449,7.522,186,221
70,4.266,203.115,11.974,186,233
71,4.266,208.667,21.612,186,265
72,5.001,236.980,44.750,187,371
73,4.952,202.921,12.392,186,237
74,5.786,208.559,18.819,186,255
