 ,Area,Mean,StdDev,Min,Max
1,4.511,167.283,8.722,155,186
2,10.199,181.957,18.761,156,226
3,7.894,184.969,17.285,156,219
4,10.444,173.160,10.994,156,198
5,4.364,167.843,8.753,156,186
6,6.472,174.295,13.583,156,211
7,5.345,183.991,21.640,156,241
8,6.669,173.794,13.810,156,217
9,4.315,173.477,13.570,156,202
10,7.012,169.692,10.148,156,191
11,5.835,171.151,12.316,156,198
12,4.021,172.549,13.295,156,209
13,4.462,179.385,16.251,156,219
14,4.364,201.607,33.513,156,271
15,4.560,167.129,7.873,156,185
16,4.217,171.674,11.601,156,204
17,4.854,177.404,16.179,156,213
18,4.854,179.354,18.716,156,229
19,4.119,176.857,13.551,156,208
20,5.050,175.495,13.601,156,203
21,4.266,178.862,16.135,156,209
22,4.168,178.647,16.628,156,222
23,4.021,184.134,21.531,156,231
24,4.805,179.571,18.335,156,221
25,4.217,201.849,31.460,157,261
26,8.973,166.721,8.057,156,186
27,6.816,192.058,31.875,156,272
28,4.903,192.190,24.391,157,240
29,7.012,213.210,33.598,157,273
30,9.415,184.594,18.867,156,229
31,4.756,192.567,29.425,156,251
32,6.178,189.048,23.107,156,241
33,4.413,164.222,5.611,156,177
34,4.854,189.616,25.064,156,246
35,10.052,187.517,20.717,156,235
36,5.050,189.670,26.605,156,244
37,4.805,175.551,14.579,156,208
38,6.227,200.118,36.178,156,281
39,7.110,198.855,36.463,156,299
40,9.120,182.527,15.716,156,217
41,5.737,189.675,28.034,157,266
42,4.266,172.839,12.305,156,199
43,5.688,206.716,38.893,156,276
44,11.082,192.367,26.843,156,263
45,7.110,183.786,22.690,156,238
46,4.070,174.663,15.841,156,210
47,5.394,186.791,26.401,156,246
48,6.571,199.440,37.819,156,300
49,4.315,182.966,22.441,156,231
50,9.611,189.418,26.639,156,259
51,6.276,174.172,14.335,156,209
52,9.464,219.710,54.438,156,343
53,9.758,181.583,20.274,156,231
54,4.364,188.865,31.126,156,270
55,20.594,183.862,19.427,156,230
56,5.296,200.722,35.412,156,280
57,12.749,168.458,8.481,156,188
58,4.854,197.566,33.781,156,269
59,4.315,169.080,10.699,156,195
60,6.669,200.176,44.695,156,327
61,10.542,181.116,20.661,156,240
62,14.269,176.488,13.897,156,208
63,5.100,216.471,61.288,156,390
64,7.110,169.131,9.325,156,191
65,5.296,187.074,25.310,156,237
66,6.031,165.472,7.896,156,186
67,5.050,171.689,11.696,156,205
68,4.658,185.400,21.915,156,225
69,18.044,187.940,28.955,156,304
70,14.563,179.047,18.162,156,225
71,8.140,175.211,15.369,154,209
72,5.590,170.184,9.809,156,196
73,5.149,166.343,7.718,156,186
74,13.337,179.526,15.692,156,213
75,13.288,184.797,22.842,156,242
76,4.854,201.980,38.684,156,287
77,5.296,190.093,30.200,156,261
78,4.168,189.976,27.769,156,249
79,7.355,187.167,28.662,156,264
80,8.777,183.883,23.082,156,234
81,4.462,170.725,11.094,156,202
82,8.091,166.352,7.255,156,186
83,5.345,204.275,47.103,156,323
84,4.707,180.427,22.202,156,234
85,5.001,176.265,16.965,156,215
86,14.514,222.199,53.303,155,333
87,4.364,161.944,4.498,156,173
88,7.747,196.595,35.789,156,288
89,5.590,180.702,21.609,156,234
90,6.423,168.748,9.730,150,193
91,10.787,171.373,12.312,153,203
92,9.856,176.891,18.137,156,227
93,11.278,182.139,23.233,156,260
94,5.541,175.549,18.251,156,221
95,15.151,175.256,14.788,155,218
96,5.198,171.340,14.580,156,219
97,10.003,207.426,53.636,156,347
98,7.894,183.006,23.566,156,251
99,8.336,165.494,7.070,156,188
100,10.346,182.938,22.598,156,244
101,20.153,198.372,52.028,156,389
102,5.443,179.838,19.996,156,236
103,11.376,168.159,8.837,156,192
104,7.012,163.573,5.835,156,186
105,14.710,167.900,8.265,156,193
106,5.247,166.748,6.827,156,181
107,6.620,165.600,5.679,156,179
108,11.572,168.034,9.206,156,194
109,8.238,180.208,23.264,156,247
110,6.325,174.651,14.318,156,206
111,15.102,168.847,9.074,156,196
112,5.394,172.136,13.273,156,205
113,9.660,170.239,10.657,156,197
114,5.982,166.820,8.527,156,188
115,7.845,173.869,16.013,156,217
116,6.472,170.902,13.218,156,212
117,7.012,162.497,5.047,156,177
118,19.368,171.934,12.220,156,204
119,4.903,163.170,5.274,156,177
120,5.639,162.461,4.737,156,175
121,20.398,173.123,12.340,156,205
122,6.178,170.365,11.593,156,197
123,5.198,164.594,7.128,154,184
124,16.475,176.196,15.195,155,213
125,10.591,176.431,17.365,156,223
126,5.786,164.085,5.949,156,181
127,20.545,174.014,14.411,150,214
128,22.310,171.233,11.175,155,201
129,6.522,177.632,20.739,156,231
130,14.171,175.111,16.670,156,220
131,5.100,170.654,11.729,156,200
132,11.523,170.723,11.874,151,201
133,4.168,164.188,5.284,156,174
134,8.924,164.610,6.609,156,181
135,10.003,176.755,18.354,156,226
136,5.100,160.212,3.702,156,172
137,8.679,164.017,5.932,156,186
138,6.423,174.580,15.712,156,217
139,6.914,167.113,8.474,152,190
140,21.477,169.619,10.206,155,199
141,6.472,161.076,4.022,154,175
142,9.415,166.589,8.513,151,192
143,4.462,166.626,8.349,156,187
144,7.404,161.887,4.413,156,172
145,5.001,162.578,5.206,156,178
146,5.247,161.449,4.158,154,173
