 ,Area,Mean,StdDev,Min,Max
1,5.688,193.121,11.008,178,220
2,4.070,189.193,10.951,178,225
3,4.168,198.906,18.150,178,242
4,4.511,193.717,11.483,178,220
5,7.355,198.647,16.508,178,247
6,4.217,196.453,13.790,178,233
7,7.747,212.082,25.133,178,270
8,4.462,189.187,9.072,178,217
9,5.198,199.594,14.474,178,232
10,9.120,198.785,17.298,178,248
11,5.884,204.017,17.007,178,244
12,6.620,207.000,29.707,178,300
13,8.875,200.215,18.105,178,250
14,4.609,198.287,15.017,178,231
15,4.658,209.305,22.690,178,251
16,4.364,197.854,14.337,178,236
17,7.159,189.747,9.469,178,219
18,4.364,211.438,28.126,178,276
19,4.070,207.988,24.467,178,262
20,6.718,219.000,32.841,178,285
21,4.609,199.489,16.882,178,245
22,6.718,214.657,30.194,178,285
23,5.001,196.245,15.030,178,238
24,4.315,206.545,22.096,178,257
25,4.119,208.190,22.716,178,264
26,5.296,198.583,16.633,178,236
27,4.413,196.733,14.786,178,236
28,7.943,208.049,24.068,178,262
29,4.903,193.020,11.449,178,219
30,6.031,196.431,14.907,178,237
31,6.031,192.309,9.910,178,218
32,6.914,193.638,12.323,178,227
33,4.658,197.800,17.906,178,250
34,4.364,199.663,18.902,178,248
35,4.119,190.131,9.673,178,214
36,5.688,195.940,14.968,178,238
37,5.688,203.776,25.152,178,272
38,5.688,213.647,35.514,178,312
39,4.315,194.432,12.896,178,227
40,5.100,192.365,11.929,178,221
41,7.257,205.973,21.338,178,258
42,8.483,202.780,26.597,178,301
43,5.884,191.917,10.921,178,220
44,9.071,191.768,10.860,176,218
45,5.198,189.613,10.156,178,216
46,7.208,193.748,14.417,173,232
47,5.835,190.555,10.712,178,223
48,4.903,187.410,7.135,178,206
49,4.609,214.202,30.523,178,283
50,4.707,192.333,10.885,178,218
51,6.423,184.359,5.224,174,204
52,8.875,215.569,40.726,178,350
53,4.560,185.430,5.713,178,203
54,5.492,199.759,21.543,178,257
55,5.247,190.430,8.543,178,209
56,7.649,191.442,15.412,178,250
57,4.805,182.143,4.204,171,193
58,12.651,198.981,20.019,169,257
59,5.050,190.951,10.585,178,218
60,4.462,193.989,15.063,178,236
61,8.140,189.572,12.029,177,225
62,9.464,188.145,8.259,178,207
63,4.364,200.989,25.023,178,267
64,4.462,188.802,7.458,178,207
65,6.963,196.296,17.664,178,243
66,18.535,191.971,13.238,178,231
67,7.355,183.953,6.203,173,212
68,8.973,232.732,64.065,178,419
69,5.737,189.436,10.962,178,219
70,4.266,199.552,21.721,178,260
71,9.709,197.015,16.247,178,254
72,8.924,196.929,16.987,178,239
73,4.952,187.515,8.693,178,218
74,15.838,197.517,20.424,178,262
75,6.423,192.084,12.864,178,228
76,10.199,186.913,7.892,176,211
77,10.150,205.531,31.304,173,297
78,11.425,193.047,13.157,178,233
79,7.404,197.152,22.118,178,266
80,6.669,201.000,20.521,178,246
81,10.346,204.308,29.896,176,298
82,10.689,187.161,8.234,172,207
83,4.609,181.340,3.248,173,194
84,10.984,200.442,23.695,178,281
85,4.756,200.247,19.741,173,245
86,6.276,187.383,8.433,178,211
87,7.698,201.631,19.365,178,243
88,8.042,220.110,49.150,178,388
89,22.899,200.433,19.953,178,263
90,11.033,189.644,10.756,178,221
91,17.946,191.429,12.870,178,239
92,4.805,215.551,31.892,178,292
93,10.150,196.459,18.489,178,255
94,13.435,193.434,14.853,175,244
95,5.247,185.271,6.509,173,203
96,12.504,187.600,8.161,177,214
97,18.437,192.572,12.350,178,232
98,5.149,186.257,7.186,177,205
99,15.691,186.909,6.954,173,209
100,9.267,207.175,26.695,178,289
101,8.924,197.429,19.450,178,262
102,6.865,193.150,12.115,178,223
103,9.365,188.497,7.877,178,212
104,10.199,195.875,14.595,173,234
105,4.413,196.467,16.377,178,245
106,15.691,189.509,11.994,167,231
107,5.198,184.802,5.015,171,198
108,5.639,185.470,6.376,178,206
109,6.178,188.706,9.512,178,217
110,5.001,190.637,12.509,178,223
111,10.886,188.005,8.896,171,216
112,10.199,198.678,26.580,177,311
113,19.614,204.960,20.397,178,264
