FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
8373,1690,638,326,331,16,28249,5642,645,185,342,7,26,304
7525,6386,322,149,331,185,25634,18705,519,144,284,104,19,304
191643,36374,0,600,156,440,78646,10748,441,177,274,350,208,306
69284,15588,7289,788,301,164,141769,25202,6523,504,128,427,72,307
43711,4264,0,196,51,498,78051,4052,151,166,315,424,76,311
70745,4461,6356,426,261,407,93569,4972,5040,228,377,211,107,311
15465,6155,722,294,247,64,36710,8625,335,184,217,160,48,311
4722,8549,60,152,309,128,12233,16023,180,86,237,173,24,312
2295,4708,81,237,507,220,11987,15975,69,173,459,238,14,312
2166,4336,175,217,363,237,10477,14742,190,135,160,260,13,312
3140,5900,0,155,415,162,14086,15220,0,22,277,101,17,312
5748,7159,276,176,157,2,22803,15109,285,101,246,95,22,312
6726,8268,134,231,0,343,16483,16356,390,176,0,367,24,312
10896,22196,147,252,583,0,11327,15879,699,149,405,67,66,312
3164,5985,26,169,354,207,14793,14361,0,76,180,240,18,312
1493,3517,110,119,358,11,8960,12705,14,54,227,0,12,312
1891,4976,264,214,244,349,7127,13959,341,185,47,385,17,312
1682,4572,0,102,438,135,6376,13422,0,0,255,187,15,312
3338,5159,217,119,295,17,12143,14369,215,0,53,57,16,312
2594,5119,300,90,313,156,10683,14221,242,38,347,267,17,312
5454,10350,11,108,271,107,14629,14558,169,25,148,213,33,312
7023,8485,0,60,264,220,24479,15639,0,0,195,182,26,312
1505,4259,130,125,294,141,7275,13761,268,71,57,149,14,312
4665,6269,249,303,517,153,13550,13810,448,204,470,253,22,312
3924,9891,0,126,651,411,14389,14290,350,64,509,270,32,312
7262,7797,232,187,138,171,24016,14329,561,185,0,194,25,312
48957,1587,8641,340,612,222,87150,3085,6966,319,621,146,50,313
39016,1262,6413,389,379,0,80517,2981,5269,312,178,79,45,313
21625,1387,2007,133,88,0,52852,3364,1694,93,153,116,34,317
78678,6628,674,420,367,179,190416,11402,527,199,252,335,47,317
2750,3940,280,114,360,58,15764,15282,301,0,213,0,12,317
31455,1044,5409,0,741,0,55796,1969,4966,31,310,229,58,318
36004,1698,6464,294,376,483,90818,4247,6428,186,191,416,35,319
42091,339,8109,674,537,7,89307,1695,8081,458,266,158,42,320
49157,3181,4908,406,306,340,94003,4452,4407,289,469,232,43,320
183869,11826,860,152,195,0,320231,15730,693,104,293,277,82,320
6378,3874,445,154,127,59,20957,5793,331,92,96,0,33,323
5880,1691,239,161,391,132,19494,5512,349,88,230,154,20,323
61388,1278,5931,444,87,147,147706,2787,6203,326,109,313,37,324
76373,707,6977,594,628,311,163314,3157,6928,463,380,349,50,325
43992,4958,0,101,409,234,89107,7207,231,42,242,193,70,326
11813,1683,104,169,214,419,43365,4777,58,31,16,523,24,326
35990,6304,362,123,394,0,80872,8180,449,142,473,218,50,327
47296,11296,0,264,151,117,34151,5513,553,220,354,389,123,328
3258,3460,471,166,385,94,14636,10483,462,93,480,407,17,328
3547,3544,13,173,288,265,21466,13112,0,65,26,259,12,328
7527,840,164,126,498,73,42013,4122,108,150,491,0,14,329
5394,2713,13,95,367,16,30956,9462,0,0,301,187,13,330
42203,9228,10649,584,318,0,69844,12250,7927,397,288,97,47,331
1895,1680,45,131,126,198,9228,6183,28,0,28,183,14,333
60718,11118,363,394,600,316,108463,16246,484,178,571,343,78,334
38025,3687,5355,837,973,280,58980,4587,4749,389,418,214,78,334
63906,1469,10836,1127,993,0,94792,4337,7229,582,532,203,67,334
77907,5210,0,1234,253,404,130459,6226,276,423,345,269,102,335
10641,994,198,155,45,80,52004,2844,187,45,0,38,17,336
6511159,988172,8962,3606,4386,173,492447,72116,604,332,450,338,1001,43712
17116,3994,266,285,423,198,43187,9132,217,116,173,165,37,43716
5007,2822,1159,270,355,25,15189,7554,1362,238,202,189,24,43717
15344,7967,252,27,370,92,18363,7613,162,6,264,335,58,43717
18607,2007,192,0,510,526,58741,4492,237,0,233,805,48,43720
18485,2097,2268,276,49,282,58408,4203,2983,143,87,253,40,43722
8354,2623,2003,259,289,150,32234,6987,3115,180,139,120,20,43726
16596,559,2739,225,330,192,58843,2499,3336,143,122,168,30,43727
26410,1180,187,139,324,211,77507,3761,183,77,233,191,30,43737
16345,3302,581,470,423,52,30839,6203,630,331,187,229,39,43737
25715,24,3694,402,712,0,71150,1182,3976,364,345,108,38,43737
27058,1538,279,433,997,0,51608,2606,294,185,728,141,75,43738
34163,1849,72,303,531,214,52473,2231,409,166,226,201,51,43738
23369,1513,3373,273,105,289,67492,2824,4382,182,0,253,39,43739
58870,4567,5139,208,697,38,129768,5413,5938,212,413,131,73,43740
65735,1114,6329,828,514,0,154292,4565,7561,630,392,290,49,43740
29788,9274,3617,262,274,46,79104,19162,4521,179,111,188,29,43742
29716,1024,4071,211,492,282,68611,2328,4357,113,184,282,41,43744
33680,2363,3706,208,135,0,83679,4073,3902,229,434,107,35,43746
22310,3433,2769,361,552,223,64675,7578,3373,289,277,101,28,43747
19935,1008,5344,376,166,203,56017,2693,5805,285,118,130,30,43749
4026,1844,11,208,427,261,25489,7852,0,147,288,237,12,43751
3773,5401,153,306,0,289,15306,9522,334,159,26,321,28,43751
33850,1499,4694,519,549,367,82357,2658,6123,378,302,172,36,43752
16468,2982,119,208,480,247,26958,6271,299,162,369,409,41,43752
4722,2099,248,223,306,0,17125,7201,211,138,80,0,17,43753
11902,1655,118,267,223,195,43197,4248,183,199,4,152,27,43753
15901,1398,0,158,82,85,42794,3684,262,119,37,108,27,43753
24797,2521,5377,278,303,231,64323,5830,6166,260,145,404,36,43754
29936,3377,752,6,148,0,62856,5053,700,44,256,122,52,43755
69873,13883,554,371,495,141,152731,22945,594,231,379,202,84,43757
8016,6067,637,30,726,335,17451,10626,344,103,860,270,47,43757
16758,2102,5126,518,574,0,48446,4793,6058,421,457,0,27,43758
34813,13097,3881,479,0,222,108900,26697,4573,357,46,269,34,43759
9425,1552,186,86,378,195,42794,3805,252,97,197,201,27,43761
3364,2157,152,167,471,50,19917,7931,126,117,362,93,12,43761
11641,4992,678,125,297,438,27311,9412,398,107,237,336,35,43761
25469,4514,7351,666,447,211,54534,8153,7624,548,324,81,38,43761
13711,1894,258,0,168,128,36632,5341,195,0,106,32,37,43762
22336,4942,6394,751,436,217,51616,6322,6159,355,426,240,52,43762
55839,7045,470,33,535,0,117599,10823,540,65,516,159,72,43764
14074,2912,224,129,361,173,43419,5226,241,79,445,301,29,43764
19112,652,2417,303,156,191,63852,2004,2681,182,52,309,25,43765
40343,5698,662,179,0,77,68266,8383,571,107,165,264,68,43767
19522,1499,3730,512,313,241,62427,4478,4034,331,321,183,31,43768
24282,7030,4101,457,123,234,52892,11535,4276,324,45,303,47,43769
39288,1343,7371,412,300,44,105947,3038,8196,254,221,80,29,43770
4042,1250,252,101,238,152,27178,5261,232,0,77,71,12,43773
39444,4591,554,187,91,328,75374,6718,394,177,215,216,64,43773
45949,3884,3557,421,601,0,101983,6624,3916,230,320,0,53,43774
74681,16606,0,134,463,74,150071,28042,102,63,305,102,50,43776
