FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
6024220,816448,10147,6850,11312,294,487389,63953,581,381,532,349,1001,161
4088,3497,227,225,409,95,15486,8692,195,122,171,201,20,164
50930,2471,141,155,52,249,143855,4616,84,62,291,185,53,165
6896,3598,22,303,187,159,19223,9066,85,153,44,128,44,166
12937,4278,481,329,409,647,48623,8722,392,219,241,617,39,167
40237,445,4163,568,579,56,91497,2836,5313,315,444,87,62,172
96270,6347,419,281,0,273,238820,10445,487,143,354,298,51,189
19971,5030,445,80,52,179,39590,9037,363,116,174,337,51,191
77537,40857,403,259,99,207,190418,63181,416,162,77,191,55,199
12808,4828,149,208,622,122,32415,9456,416,152,343,88,27,199
1057,2809,183,226,243,0,5597,10165,194,141,275,0,12,199
23377,1940,3972,652,3,0,70286,3073,4789,467,0,99,41,206
11094,2620,411,0,223,311,22583,5410,488,0,170,203,44,207
52898,14446,1568,752,910,864,118805,22683,1019,602,925,490,45,208
8297,3306,99,113,417,261,20176,7532,30,73,215,293,29,210
31495,7422,110,95,160,22,68749,15966,231,75,92,0,39,211
6557,2015,99,0,292,67,24695,5849,77,0,8,0,19,213
12922,3595,529,441,175,226,22352,6124,387,251,0,281,35,222
35722,2574,102,219,0,355,80191,5526,319,169,0,287,38,223
74614,12271,202,421,204,73,156650,20738,316,186,74,279,50,228
38631,9229,0,320,411,389,39751,6199,187,154,247,331,85,231
6663,2301,0,139,448,40,21475,6563,11,48,423,121,24,236
47037,4392,377,104,186,0,110058,7983,401,187,347,256,49,240
7774,5192,273,40,343,0,24499,8450,287,0,301,36,32,247
26839,2889,495,238,0,204,42412,4468,284,123,140,233,72,250
4106,2267,107,158,307,150,15677,6563,95,134,483,139,17,262
5594,4113,396,143,316,0,10697,9419,467,66,205,0,33,265
54714,4937,424,182,72,135,105932,7177,488,217,57,191,53,265
72241,17464,1737,734,1205,598,175437,27397,1644,640,1083,396,55,271
53367,1788,7453,640,570,168,122113,2468,7864,580,213,218,55,271
9836,3594,564,321,414,317,16601,6770,449,263,455,277,34,276
40328,2639,7978,423,498,43,61926,4360,5597,318,214,175,41,277
11012,1610,467,237,444,137,28816,6277,356,99,429,96,33,278
4654,2250,168,30,183,279,23407,9023,59,0,0,386,16,279
17417,1483,5498,302,235,156,56395,4822,6400,338,208,90,24,280
3095,1414,75,142,403,140,16620,6160,6,24,335,81,14,280
12005,3409,447,36,343,117,37871,6593,410,0,265,86,28,281
20395,1550,7516,659,415,0,52182,2949,7050,498,262,0,36,282
4556,2141,406,137,129,171,16223,5985,370,41,0,286,18,284
