FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
9828,874,5939,586,282,250,46604,2991,8404,649,144,207,19,161
30873,1061,1948,411,43,146,79608,2948,2742,301,142,335,67,161
20256,6126,68,261,210,174,45803,9673,300,195,44,266,57,161
59164,9736,3888,142,396,252,188694,19131,4537,143,245,119,38,162
3206,1366,359,201,492,213,16011,6882,359,127,290,186,15,162
17237,2586,2399,146,219,0,64850,5950,3313,112,69,89,23,162
2607,2139,215,196,328,207,13003,6392,260,102,124,166,15,163
23918,1096,2532,238,555,303,69343,2935,2984,95,330,435,23,163
58618,1143,3839,480,469,422,146515,2647,4806,226,377,373,57,163
3634,2989,66,107,291,214,12196,7545,285,0,395,110,20,163
8702,2173,0,275,87,150,25199,5523,211,178,98,494,32,164
21346,1762,2324,397,435,226,50907,3737,2436,252,519,244,62,165
31594,364,3879,498,0,371,103458,1906,4223,319,262,370,46,165
53101,1318,1889,57,244,76,124173,2170,2235,79,443,154,53,167
3635,1068,388,89,307,107,20469,8732,470,14,299,46,14,167
12368,2780,829,353,378,123,33116,5293,1010,167,424,111,31,168
6441,800,319,201,291,150,22534,5423,269,81,57,51,18,169
29829,2995,1976,612,0,394,77612,4328,2087,214,25,230,66,169
16742,5507,267,0,420,128,23232,5823,150,0,352,89,60,172
12377,3008,161,155,126,265,23972,6100,107,53,51,179,32,176
7640951,1246990,1216,8476,3421,307,568929,87158,224,417,375,328,1001,179
237914,341451,2399,1091,507,155,310626,921279,1199,413,182,335,82,183
666,1895,289,143,318,176,3163,7589,308,17,48,91,12,183
6178,2885,453,87,175,86,20707,6288,454,60,65,93,25,183
3764,3015,598,151,402,123,12941,8400,705,7,171,165,21,183
56653,9492,0,409,87,22,92203,11980,90,194,113,92,66,184
6623,6708,23,42,360,174,6325,6478,79,53,209,203,73,184
25508,1557,1930,267,298,255,59285,2144,1990,96,215,313,81,186
78052,3257,3047,211,555,104,182783,4293,3585,109,178,347,54,189
1928,2984,189,83,553,297,6045,7919,63,0,408,230,19,189
1436,2660,125,72,276,173,4990,7919,100,62,20,222,16,189
1043,2229,68,117,229,231,4615,7094,0,80,11,229,14,189
1594,1772,201,116,289,138,9069,6939,133,30,9,4,13,189
2012,1539,193,87,226,98,11481,6270,140,0,0,200,12,189
4048,4925,0,66,438,0,9233,6683,80,35,318,18,35,189
4382,5624,0,0,312,89,9412,7364,46,17,146,149,39,189
1741,2027,0,81,333,170,7295,6405,0,0,122,82,16,189
1901,1852,162,122,370,182,10772,6681,85,0,278,126,12,189
3172,3792,31,0,183,301,8118,6987,0,0,140,222,32,189
20446,1420,1020,261,295,283,53347,3442,1024,99,229,143,36,189
42563,4105,2287,160,571,288,98078,7497,2272,198,432,165,91,190
87217,123,3107,539,231,280,211548,2143,3123,332,151,284,53,194
24970,10818,2869,217,442,429,70464,22242,3196,179,272,414,32,195
1306,1802,73,104,357,92,7535,6506,64,0,233,161,12,196
2229,1950,62,188,240,137,12968,7827,81,102,132,78,12,196
2412,1720,96,157,285,189,14693,6392,0,79,14,106,12,196
3697,1788,118,101,283,28,18641,7324,263,125,39,23,15,196
3268,3148,66,45,294,226,13744,9225,0,0,113,357,18,196
3654,2633,368,36,243,110,14495,7194,518,0,0,218,17,196
2994,2691,0,169,235,117,12358,7014,0,52,64,56,18,196
1417,2280,238,179,481,53,5131,6902,206,130,425,0,16,196
5756,2999,34,244,240,22,22209,6896,67,149,105,0,20,196
4678,4168,20,237,271,105,15648,7376,49,142,253,143,27,196
7899,4618,217,22,211,119,16531,7378,205,0,4,153,30,196
3399,1866,35,123,426,211,18598,7289,0,8,275,199,13,196
3328,3297,0,170,300,177,9830,6402,99,117,74,228,23,196
4111,2389,0,98,249,246,14752,6663,0,6,28,269,16,196
2999,3950,0,173,118,268,11564,8732,0,138,105,336,24,196
1911,2068,178,140,210,182,9184,7060,104,105,0,136,14,196
1100,1911,245,120,316,185,4814,6803,158,37,52,173,15,196
3487,3988,212,232,324,102,11102,7354,132,162,314,25,26,196
2590,2006,190,101,330,146,12628,6129,91,0,183,201,15,196
3275,3278,39,272,88,325,11209,7346,165,246,74,259,22,196
2525,3449,248,207,237,62,7284,7470,168,143,76,148,24,196
2068,3138,130,300,349,177,5845,6926,93,231,269,234,22,196
2236,2038,112,217,262,159,11172,7294,190,120,51,150,14,196
9144,7183,405,327,393,208,20946,7994,423,216,312,254,44,196
2498,2064,174,217,319,85,13528,7099,170,159,164,0,13,196
1944,3050,335,64,220,300,6253,6842,237,7,0,283,21,196
7714,7096,147,126,0,108,10258,7212,225,147,126,266,50,196
5538,5908,220,391,234,38,8862,7992,527,191,223,182,42,196
2285,2270,365,102,438,29,10437,7007,363,0,232,0,16,196
4912,5034,69,267,156,101,10663,7971,180,115,0,142,32,196
2432,2821,224,129,213,37,11866,8152,264,11,100,0,16,196
3570,2894,189,72,225,65,10006,6936,177,0,49,71,23,196
5905,4950,317,55,447,208,12440,7550,289,3,194,220,32,196
2629,2352,264,217,349,335,11680,7245,214,170,296,343,17,196
2617,4203,484,154,82,243,6719,7824,489,113,0,347,29,196
37171,1966,2862,346,501,126,80031,3189,3316,309,210,368,60,197
29505,1839,1700,196,424,0,82098,4287,1927,72,226,122,28,197
38123,1181,2322,471,436,252,85755,2436,3110,311,313,165,44,199
20099,1688,298,191,360,234,47848,3330,243,104,189,144,69,199
3828,2062,0,166,138,34,12701,5993,0,89,75,99,21,199
4425,3152,0,90,295,71,11355,6934,39,5,111,31,26,199
3307,1860,97,87,271,138,13832,5849,165,0,100,371,21,199
2563,1595,0,187,300,100,12786,8980,53,64,295,0,15,200
26638,20842,3690,371,90,320,50732,33412,3959,258,127,369,55,200
5848,3039,54,122,433,134,23601,6045,90,20,318,267,26,201
77852,15213,372,0,390,376,191294,25391,342,53,398,182,60,202
6682,3127,195,145,100,198,26419,9243,186,6,0,107,19,203
4363,2319,214,199,318,310,11932,6639,92,99,277,203,23,205
58928,4458,0,102,297,385,135131,7661,0,162,108,319,59,209
23863,2527,3044,219,133,22,69921,5321,3385,145,119,0,26,210
9382,5640,502,142,112,123,16173,9332,487,63,239,239,39,211
26167,15280,3276,196,550,152,61027,26870,3149,87,370,250,43,213
99021,4043,3096,489,336,338,197927,4676,3520,270,429,151,86,214
2181,2049,78,191,444,162,10508,6796,276,200,316,170,15,214
