FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
79866,4727,283,302,0,185,176870,8344,360,167,48,363,48,794
20882,2591,9836,668,393,229,41555,4407,9155,545,174,280,32,796
11553,4257,212,126,396,286,35376,9685,634,91,337,358,26,796
16168,1597,141,329,664,131,45735,3428,265,204,734,426,41,796
12584,4865,0,149,499,138,33533,8671,277,68,282,215,30,799
62684,4545,0,164,609,297,142072,7379,215,80,711,424,44,801
26596,2150,3507,255,586,240,54878,4320,3537,146,482,271,35,811
20146,10871,468,255,532,271,63217,22982,657,163,312,151,29,812
16791,654,3891,111,235,0,61802,2949,4234,46,459,60,27,814
83825,12560,1258,524,2179,253,222585,25288,1356,521,2259,350,30,818
250726,41247,1970,480,754,414,502661,60603,1866,464,728,334,99,820
5399,2134,246,231,96,0,23437,5866,188,222,0,0,17,821
35354,3007,198,52,373,0,80570,5226,756,144,663,43,73,822
24875,1749,8155,633,0,234,49768,3655,8412,454,15,296,35,823
34204,577,5071,515,181,288,75896,2631,4712,355,208,302,44,823
18571,1291,248,139,670,170,63295,4002,300,102,555,44,22,827
43485,3149,7182,553,358,329,97817,5305,7044,387,435,416,40,828
7398,1453,223,140,400,147,28479,5403,322,69,301,100,20,829
36997,5417,33733,1839,373,0,57314,5069,15794,1016,521,217,79,829
15976,6060,10893,554,553,529,32250,8970,8250,411,577,514,36,830
18745,2133,0,365,433,311,43568,4399,422,171,191,223,60,833
10959,5021,589,104,283,0,30126,10960,906,125,98,139,27,835
21909,3456,0,460,573,310,57346,6548,168,262,412,284,58,836
13436,1087,31,214,441,150,44366,3701,239,140,505,112,20,837
65627,4389,0,122,199,549,132618,8288,195,142,197,307,44,840
26741,4262,0,341,412,326,29322,5252,347,203,388,320,76,840
20779,1504,10419,565,465,338,45457,3447,10909,619,247,298,32,840
10196,1574,304,176,354,180,26673,5306,494,65,356,171,27,841
105291,3950,38540,1966,525,220,191477,4481,37670,1912,521,416,60,843
3983,1598,381,204,388,46,15737,5741,499,100,229,0,16,845
18754,2320,35,22,546,22,50563,3038,167,67,240,234,38,846
15726,1887,396,104,568,29,45991,4116,492,142,394,104,32,849
26426,2060,7732,539,267,434,50149,3604,6442,288,58,324,54,853
8469,1188,289,179,202,137,34956,5305,306,138,181,84,23,853
14053,1727,230,84,120,320,41431,4785,527,51,0,318,31,855
52797,10894,748,595,204,131,107246,18282,761,344,353,231,53,859
213575,13760,422,184,571,156,411150,20628,389,95,235,271,61,859
28338,2471,0,250,133,129,25772,5598,82,178,207,227,69,860
21881,5403,0,4,10,270,38642,7047,103,101,10,277,47,861
49669,3656,27482,1337,504,0,89146,3252,26036,1383,262,225,75,861
56999,9056,863,976,1304,379,121417,14109,966,613,1036,580,42,862
36230,485,5367,426,262,183,86809,1604,5390,253,257,331,37,863
4198,1350,214,213,540,64,24835,7481,279,148,637,0,13,863
45130,3010,8545,521,223,95,57582,4732,5536,462,444,174,95,864
1550,4431,12150,785,321,262,5029,12180,18953,943,122,188,17,870
24144,4150,130,457,403,307,33934,5745,222,284,371,202,61,871
46823,2277,11695,914,387,0,79841,3987,9979,594,422,193,81,872
6890,392,397,131,228,31,41338,4110,657,56,154,11,13,874
19826,1797,224,176,388,0,42357,4288,258,88,185,0,33,875
2000,1374,530,116,384,107,12902,7010,973,0,218,0,12,876
7698,543,146,126,328,143,46503,3018,88,13,196,109,13,877
10441,899,0,48,382,0,46738,3454,284,22,136,107,19,879
9058,2646,542,208,361,23,45802,8932,675,140,282,111,17,880
7162,6371,576,161,403,289,30571,16950,625,47,290,224,18,880
60579,2161,14572,659,801,529,105879,3677,11172,729,403,359,67,881
8790,824,193,102,246,217,47223,3753,252,45,212,144,16,883
24836,2046,5610,687,0,232,59698,3679,5480,494,0,190,29,884
9062,2274,322,110,429,383,17880,6470,328,123,237,339,41,884
19443,5335,458,107,412,0,36193,7167,425,150,423,83,55,885
2066,3756,184,13,298,171,11491,14683,239,0,91,141,13,886
9855,931,93,213,187,288,45165,4575,36,143,68,286,18,886
9970,9017,0,125,301,216,32725,16731,0,114,362,237,25,888
14279,5021,270,244,457,186,30778,7907,470,121,395,294,31,888
17312,1138,125,105,528,88,47110,3860,115,94,520,124,45,1278
7392702,1087291,16510,5609,0,185,522945,73523,970,382,389,324,1001,1280
26202,4359,449,99,6,370,60058,6948,669,52,138,455,54,1283
56360,2351,212,0,0,0,136924,5447,337,58,39,87,58,1285
3835,2697,280,154,351,180,13111,7500,263,67,104,179,21,1290
32206,1807,13,324,526,580,85134,3350,79,174,384,336,49,1292
39219,8738,3932,220,697,186,77073,13296,3605,292,447,284,75,1294
4929,5093,257,95,610,0,19342,14144,210,47,363,0,24,1295
447035,28896,4128,0,3370,0,44394,3946,530,209,607,338,782,1297
590569,37407,706,0,1166,0,54147,4538,408,164,504,442,1001,1297
538380,23912,1020,0,0,102,43885,3839,621,251,472,535,1001,1297
4303,17628,504,223,216,192,21614,46829,539,113,21,137,18,1301
26030,3456,520,237,714,189,50958,4897,365,155,426,401,73,1302
59604,973,12536,908,453,83,135680,2126,14710,788,405,244,40,1302
14915,1932,0,74,295,114,49453,3933,287,137,241,124,35,1304
4445,4402,174,142,250,89,15172,11525,272,21,133,150,21,1305
20288,2546,196,68,490,305,42402,4578,241,14,278,338,39,1306
2746,1886,239,137,190,152,16181,7187,193,48,43,50,13,1308
27019,4342,796,259,784,85,59902,7030,907,203,463,191,42,1308
7422,2144,221,247,394,91,19678,5525,168,112,163,309,37,1308
8714,943,208,223,357,89,46002,3765,247,275,160,0,15,1308
11910,1198,0,290,457,216,44229,3647,0,185,293,222,20,1311
12236,7508,276,134,430,0,21748,9976,517,138,191,146,49,1316
2855,1717,243,161,450,159,16981,6741,289,65,293,96,12,1317
22110,3587,338,84,636,464,20454,5852,538,93,478,387,79,1318
13312,2275,313,172,495,85,40057,4660,450,138,440,86,31,1318
7908,2984,252,43,333,246,26457,8482,246,0,375,182,20,1319
42033,2636,5985,340,267,247,107623,4732,6530,373,262,258,49,1320
260042,13216,156,403,702,247,571239,21832,459,269,596,332,91,1321
10429,3007,0,199,0,0,17523,6969,272,119,272,334,57,1321
77990,72445,421,128,0,213,44932,33050,588,141,659,400,146,1323
14376,5218,0,99,166,246,43430,11880,167,57,60,474,30,1323
20949,2144,110,154,171,0,43738,4228,195,108,291,110,53,1326
9543,3849,403,232,711,0,27108,9588,376,153,681,27,24,1329
