FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
8525,1412,354,284,256,217,33402,5666,387,195,50,78,21,279
20687,3125,675,75,130,50,27806,6120,512,111,259,154,70,279
3904,1781,277,80,307,114,15356,6082,230,0,131,298,17,280
19515,5545,586,16,165,710,23845,5923,510,100,232,547,57,281
10723,845,0,250,217,144,48351,3025,100,167,124,188,18,282
2363,1231,187,133,280,86,14732,6032,484,42,180,0,12,283
62241,16241,977,163,718,0,133099,25282,842,176,543,282,50,283
8226,3047,233,152,72,247,23496,5326,480,40,151,155,36,286
8366,1958,264,75,147,0,21804,5432,568,0,241,178,25,286
74441,8684,1839,802,1244,740,142936,10673,1283,543,1121,616,66,286
3977,1329,264,194,267,91,22581,5777,406,72,144,0,15,287
6605,1767,199,21,178,153,28069,5267,317,0,21,264,20,287
234598,35868,481,78,352,0,432828,52528,342,129,317,137,74,288
10037,1810,107,116,306,138,39705,4999,84,28,248,196,24,290
13561,2987,171,199,162,195,20947,5505,358,126,366,202,50,290
52954,24231,1324,568,271,498,105417,36822,1241,372,347,525,56,291
33891,22851,822,74,168,0,60260,37078,723,92,316,9,39,291
355890,82444,1074,0,0,619,157544,28172,573,0,259,489,227,291
39900,3661,1113,0,375,303,90945,6632,998,0,256,528,34,292
7470,1180,440,151,291,0,36684,5115,568,76,294,0,16,294
22522,1704,227,89,663,310,56896,5079,467,49,458,367,52,294
7830,2612,408,111,282,191,17552,7155,379,85,271,233,29,295
12231,2700,467,441,391,194,43594,6351,425,288,441,282,28,295
5640,2500,496,222,466,273,18811,6482,611,109,406,203,19,296
12431,2830,387,24,339,334,26537,5939,429,27,271,334,27,298
6967,2535,288,231,69,406,22607,6582,284,197,0,384,20,298
40469,2375,501,0,444,164,91252,3748,296,0,281,264,42,300
8330,2947,178,205,231,4,32315,6666,132,137,70,126,24,301
11274,1319,0,145,193,168,23460,5507,0,22,93,107,27,301
10474,4171,350,287,594,400,19367,6484,260,183,403,318,36,302
18197,1727,486,0,753,376,46953,4211,457,0,629,286,39,302
6061,3496,468,303,363,432,14830,6316,478,271,251,580,28,304
57689,5834,851,137,609,304,140641,9077,870,70,514,469,48,306
70139,5476,993,358,126,56,125780,8190,454,218,170,216,102,314
5257,3358,860,83,225,0,12596,6418,883,152,238,41,32,315
4901,3161,550,231,339,67,18722,6157,517,141,215,103,25,316
12521,6172,505,198,0,249,16830,6564,277,183,163,241,58,318
35085,12769,1117,423,963,159,69944,18572,1063,213,614,240,53,321
2954,4427,394,445,438,55,9801,7485,271,245,285,165,29,323
98400,2939,1058,107,993,120,196204,4344,862,142,753,151,67,324
19318,3505,325,187,420,377,48888,6226,205,93,244,335,34,324
10642,3610,696,291,411,173,24503,5377,365,144,312,281,39,325
2373,13991,0,191,339,177,9630,42993,0,158,241,70,15,327
12341,1663,654,353,504,403,47409,3824,617,188,387,260,25,327
16350,2015,626,341,345,0,42300,4090,529,190,191,2,30,327
197734,33507,90,107,132,149,292595,45517,271,99,364,366,78,328
17035,4793,362,51,453,279,39709,9000,558,66,167,362,32,329
48522,2118,1355,510,631,244,113172,3593,728,149,397,462,79,332
80480,19112,708,119,568,292,140630,30566,852,123,521,168,54,336
4618,2979,174,347,456,134,9728,9205,300,184,344,152,30,336
229874,11786,785,371,732,289,423114,13080,440,159,375,281,79,338
6857,6115,106,145,348,22,24649,12272,340,113,180,154,27,338
3383,2272,527,208,495,61,13382,6042,506,129,338,68,18,338
9084,4054,1114,160,513,25,16271,6134,913,125,264,284,41,338
31974,8001,983,0,933,108,44796,6038,537,64,328,270,96,340
6636,11462,317,113,109,317,15057,22950,231,119,0,237,28,342
41292,9215,393,0,136,0,86602,13448,672,20,284,389,66,343
10903,1818,413,253,346,104,47129,3820,476,147,269,0,28,879
23916,4118,0,388,156,219,21295,6360,207,312,193,244,88,879
7255,426,144,104,274,116,43198,3607,68,13,138,59,12,884
11964,3994,20,104,279,203,23610,6223,116,55,314,247,35,894
26431,3441,715,457,456,185,45258,4411,613,213,465,358,54,897
103270,21575,165,423,928,340,64733,9399,386,167,441,394,134,898
8530,8944,137,146,732,276,24250,17534,210,43,447,187,27,910
3723,4132,85,131,342,65,9838,9420,0,37,239,58,25,918
12888,4824,62,216,0,325,14152,6115,121,130,0,401,57,922
20566,1756,638,267,223,37,52209,4005,634,105,128,131,27,923
20418,1666,125,201,517,41,53419,3734,104,195,283,74,32,926
22743,2553,507,386,636,367,57971,4517,610,249,398,297,31,927
11168,3247,146,315,99,146,32547,5889,108,211,124,166,43,929
35669,2192,643,27,63,341,78767,3008,675,75,22,229,55,930
102032,4615,0,172,531,0,226515,7901,322,87,398,203,73,935
50042,12076,412,435,768,0,102888,17618,651,192,318,88,71,935
12466,3274,106,87,514,95,34413,8251,93,34,557,158,25,937
6164,2537,0,232,387,203,18132,6370,0,146,207,172,23,938
10399,1943,0,303,415,450,16103,5891,331,211,296,239,47,941
27347,22895,428,201,679,207,44735,39517,399,109,514,280,56,941
6236292,898294,14332,5707,6237,0,474018,64616,854,376,477,490,1001,945
19354,4904,412,269,495,750,30559,7883,271,129,273,752,55,946
23001,8772,677,222,510,740,46526,13961,527,157,275,552,48,947
16681,8515,190,229,309,97,45064,16922,156,208,229,95,27,959
723248,51113,459,0,136,19,1212549,75409,424,0,373,236,85,960
46476,2527,1029,451,580,201,99082,3771,1092,216,264,372,51,962
73072,5276,344,101,201,0,140046,8526,323,130,236,298,92,963
22094,899,260,281,651,407,60370,3645,276,186,522,326,31,973
3317,2541,65,120,436,292,10520,6517,172,14,188,319,21,975
11961,2182,35,175,222,343,30994,5159,200,204,229,321,32,977
13482,11385,1032,0,939,11,17941,8919,584,146,353,108,62,978
3341,4044,879,175,324,341,8669,7751,718,136,208,288,26,978
113710,9367,113,447,145,338,232878,15118,349,239,121,440,53,980
91887,3512,310,164,633,325,219753,5579,690,105,405,215,58,981
2515,1999,413,190,519,110,11248,6275,505,83,468,8,16,982
5847,4342,660,311,361,183,15385,8339,576,258,340,168,28,982
9356,4519,261,279,420,197,19310,6534,443,217,145,81,33,982
43618,17203,802,22,508,170,78343,24437,804,112,312,198,51,984
2983,3696,319,45,279,323,6277,8297,620,20,153,292,28,985
824966,222433,0,0,859,222,235286,50032,551,159,455,339,374,986
41486,4237,209,305,489,270,92559,6180,209,140,286,387,42,986
8458,1181,354,290,462,0,30751,5160,320,180,220,0,21,989
23236,3276,0,470,534,219,29039,5464,68,310,391,321,77,989
1924,1191,443,166,283,91,12129,6069,610,66,0,0,12,990
17673,5217,146,46,723,0,14578,6850,337,106,262,332,80,990
12441,4734,78,61,195,277,23096,7079,196,0,281,297,40,991
3763,2027,0,117,424,144,16293,6541,0,0,405,59,17,991
71340,11968,51,68,708,120,145681,19870,437,73,523,220,44,992
155343,40127,3742,1528,3208,531,268057,52910,3048,1040,2151,1029,76,994
33203,1632,774,241,1295,501,61888,2781,575,198,644,508,87,997
41442,2731,1030,282,573,0,120587,4582,1029,158,426,118,35,997
4697,2012,317,34,450,185,16894,5885,367,0,303,149,19,997
58381,4193,103,0,235,0,109980,7613,410,0,238,271,59,997
29120,3266,666,201,498,316,62537,5368,630,102,439,201,40,999
2495,1683,270,207,253,391,13931,6218,312,109,72,552,13,999
13639,1711,235,282,0,167,39826,4775,495,232,0,282,27,999
38684,1945,1336,584,45,637,96802,4149,941,279,224,474,50,1000
8406,1783,347,362,258,189,32381,6063,455,275,0,85,19,1003
6349,1324,306,228,403,205,31513,6124,457,155,198,325,16,1005
16450,5279,50,306,252,44,36109,10777,344,323,144,24,31,1006
25312,476,307,191,424,132,73683,2719,638,78,400,195,25,1008
24775,643,431,0,283,159,61909,1604,374,0,351,278,29,1008
3569,1934,167,175,267,19,19597,6357,350,77,55,0,14,1008
8891,612,134,146,349,235,45425,3132,54,81,185,446,16,1008
52601,8491,354,317,328,88,91739,8302,495,179,156,300,75,1010
37736,14419,696,241,588,0,90745,27529,1036,241,257,12,29,1013
9457,934,309,181,382,259,44984,3847,399,83,170,193,18,1014
23083,6809,235,317,165,325,20192,6504,483,143,134,365,86,1015
9301,4059,351,231,477,0,33826,8731,370,288,336,114,25,1015
14213,6349,23,0,261,0,30568,7144,137,99,187,203,45,1016
226695,44050,394,0,0,0,97700,13453,478,192,330,321,222,1016
11515,3436,409,0,252,143,28964,6258,442,0,178,226,41,1017
94491,5727,212,281,148,0,188117,9996,331,146,156,23,48,1017
6690,1696,378,184,306,171,21777,5711,442,178,256,301,22,1018
37003,4541,662,119,99,307,88066,8079,754,64,153,278,32,1019
13576,3120,26,185,189,222,32618,5623,270,101,266,232,40,1019
3030,1879,251,259,283,68,15977,6494,451,232,135,11,14,1020
11007,2137,341,123,241,214,27196,5293,413,29,146,313,28,1020
14704,3205,464,276,502,67,21980,5516,368,156,320,217,57,1021
23506,9442,644,610,975,0,24751,5661,406,197,766,207,100,1021
3121,2073,490,217,543,198,13340,6538,643,136,539,136,18,1021
82699,7587,1531,417,730,340,179538,7409,1413,180,566,209,62,1021
16019,4405,0,185,511,0,26054,5315,276,119,425,176,53,1021
10083,1898,538,92,259,264,30014,5329,443,0,151,276,27,1023
7079,3646,357,188,169,279,26140,9186,266,137,159,175,23,1023
3271,1611,351,181,235,274,17060,5996,773,95,177,260,14,1023
6480,3996,38,119,396,123,19358,7265,176,0,267,282,25,1024
4189,2311,156,243,205,332,18883,7745,284,277,151,255,17,1025
6837,2527,669,172,570,22,26328,5713,652,45,589,0,24,1025
23767,2941,31,61,645,174,44197,3399,281,37,358,275,56,1026
173948,35587,199,0,0,0,74488,10209,589,151,336,451,185,1027
9550,2179,663,353,652,0,34920,6064,697,222,718,172,27,1029
12821,2376,337,383,540,8,30332,5523,308,191,249,15,38,1030
10360,1279,107,125,216,326,42645,4142,79,95,141,357,20,1030
8701,441,406,143,270,261,53202,2477,700,9,93,381,13,1031
118412,23923,240,355,175,358,205264,29914,273,291,309,301,65,1034
7322,1327,0,217,105,94,25540,5605,30,121,32,0,20,1034
16172,2044,586,432,655,55,42341,4659,699,252,506,220,34,1035
8304,4089,680,391,307,62,16321,6205,470,246,310,77,33,1037
771962,41131,125,320,0,217,1297420,64217,340,163,281,259,73,1039
4723,1433,0,178,157,70,26694,5489,0,92,0,60,13,1039
21816,7385,499,754,7,0,28726,5882,591,321,198,196,90,1039
71088,6437,666,143,351,0,129673,8537,551,142,230,134,70,1042
41785,3035,122,205,303,0,72518,5515,573,128,221,232,65,1042
6947,2522,54,178,250,182,26639,7265,0,200,82,222,20,1042
2399,2764,0,220,318,303,5232,6873,89,194,154,336,27,1044
31897,2290,770,188,786,128,61885,2938,737,110,361,196,64,1044
8484,3733,42,111,60,129,23535,6366,41,217,25,281,30,1044
431254,18492,557,858,157,0,641747,21932,785,376,428,415,114,1045
10391,3529,209,352,0,50,25393,5840,331,180,177,168,49,1047
13717,1799,48,74,88,0,34712,5034,143,0,67,0,34,1047
16422,3549,198,139,288,147,48763,8115,254,63,97,173,23,1049
3520,1613,323,181,271,98,17851,6428,478,110,107,0,15,1050
44683,4019,819,96,187,329,65672,4774,801,178,243,238,61,1051
168737,132509,6823,1565,4758,1449,216567,149516,3190,778,2595,1273,134,1051
2409,3199,600,232,358,192,6485,8858,544,265,344,242,26,1051
147615,19006,929,253,322,23,276859,26123,1064,188,313,260,70,1053
5408,1310,205,172,234,192,30532,5737,145,91,17,281,14,1054
10553,3077,224,347,528,222,20547,6541,319,145,288,376,44,1054
7442,1576,257,214,235,185,30269,5398,361,105,138,348,19,1056
20323,3188,564,259,0,262,41715,4268,622,163,152,309,47,1056
56637,4145,0,261,382,185,109918,6859,302,132,436,162,51,1056
18457,2147,0,368,348,158,47468,3520,144,193,206,50,50,1056
58974,3940,606,361,412,0,113958,5496,409,228,401,250,57,1057
50663,2978,550,225,603,79,106304,5341,519,163,505,110,40,1057
71479,11473,1518,42,1050,325,120601,12878,785,100,687,276,80,1059
