FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
51965,3693,817,116,699,353,154071,9422,863,148,418,719,37,155
5543,3428,223,60,577,231,18779,6217,199,21,411,227,33,155
6114262,901548,4537,9549,2932,606,462432,66927,576,474,486,331,1001,161
8072,2437,84,299,402,207,30503,6361,36,206,221,184,33,177
19524,2203,48,80,853,0,29037,5289,196,50,439,41,62,177
16219,5135,541,294,97,159,24295,7325,385,170,111,182,44,177
2982,1547,300,172,511,11,14321,5932,340,86,383,0,15,183
23001,2025,495,96,553,303,70415,4473,353,107,330,251,30,183
29384,1988,73,179,253,189,78409,2557,143,53,174,293,59,186
7103,5322,0,214,502,328,12197,8398,86,128,326,287,32,187
11576,7297,171,87,486,441,20785,9359,323,66,254,359,55,187
20854,3003,947,318,577,49,39451,5653,957,152,271,177,71,190
21403,4089,555,107,384,125,71105,10410,505,13,122,128,23,190
2453,6424,487,129,270,64,9857,22226,607,20,161,0,15,193
47214,2014,736,417,81,337,110045,3971,609,232,27,470,47,193
8469,7382,0,61,469,143,16268,13388,68,43,255,139,46,196
15726,4674,252,0,229,17,35164,6478,183,0,153,138,45,198
100294,24078,53,566,0,68,57077,11564,272,209,270,337,164,203
29310,8657,793,145,496,26,60004,13602,698,73,455,235,44,204
9241,1509,289,194,277,210,47792,4625,234,95,54,145,15,207
4437,1983,172,120,177,155,19072,6954,47,48,108,39,17,208
10222,3942,382,164,411,195,32106,8261,426,80,239,77,27,208
6876,4338,23,139,178,176,20932,8593,123,96,118,141,34,209
35309,1913,119,349,123,110,66360,3793,492,155,123,122,60,210
9710,5419,586,256,76,28,30066,9784,364,174,40,76,30,210
64846,13434,0,349,126,77,53859,6618,206,172,248,288,124,211
8934,936,311,222,133,141,47018,3444,348,124,0,186,15,213
9993,789,326,149,456,137,45465,3331,356,57,271,78,18,214
39274,1414,774,213,484,149,93933,3030,696,96,437,311,46,216
17811,1042,329,232,639,47,78221,2931,651,139,831,11,22,216
35239,4296,807,0,321,277,56694,5052,492,120,233,206,66,216
44756,4435,484,403,1292,168,81155,5936,385,253,528,292,64,217
37645,3029,366,403,684,44,77502,3630,509,233,433,114,60,219
2258,1918,187,71,246,108,10332,6095,129,0,0,68,15,219
2787,1677,73,107,346,105,12099,6943,18,0,132,47,15,221
20544,2185,51,284,454,159,41096,4017,342,146,411,330,57,221
31242,3560,0,45,156,22,42505,4153,240,115,194,121,78,221
9370,6331,452,205,447,220,19358,8226,430,92,242,231,41,221
37574,518,0,164,435,280,112171,2590,362,141,437,394,45,222
27724,2602,552,229,303,0,57216,4576,427,124,299,73,40,222
17412,2264,103,179,262,225,44347,3844,435,96,108,146,44,222
6925,2533,133,123,207,0,20777,5566,46,34,0,80,21,223
73645,1448,399,216,265,485,170586,2938,564,122,228,412,50,224
107970,19642,353,81,0,407,213642,32704,265,93,115,206,56,224
23769,10215,0,10,477,107,66604,16188,152,45,707,124,49,224
22799,1268,180,229,304,240,59335,2345,382,107,318,250,34,224
9180,4947,230,190,69,171,19022,8096,135,49,0,252,32,225
6037,4132,269,89,225,264,27071,8839,178,19,0,284,21,225
23355,3185,220,0,172,0,41581,4777,426,130,312,188,61,226
23744,1680,610,166,327,88,61155,3167,637,87,119,111,33,227
163649,1204,348,40,379,441,355273,3931,765,114,362,313,85,228
45707,1717,1416,264,610,383,95508,3536,1476,174,365,346,59,228
4586,2756,588,173,247,67,21349,8421,845,58,23,5,16,228
109058,23238,0,0,492,643,60933,12606,551,199,297,294,127,230
44757,7329,746,303,160,232,48651,5923,498,262,324,301,87,231
11988,1060,34,120,129,280,44637,3727,97,58,333,195,26,232
41516,2607,328,246,430,162,85631,4238,307,150,377,155,44,233
38749,13686,906,63,654,105,76005,24165,926,147,259,117,48,233
13561,4144,41,155,421,198,29630,5185,115,170,257,205,51,234
14603,1725,412,211,235,138,39813,5205,379,166,153,170,27,235
28900,6586,618,198,789,122,66689,11810,692,75,824,301,55,236
32020,17404,1286,198,261,207,56979,27906,717,204,203,269,67,237
7783,1924,146,30,129,0,25058,5491,266,0,0,62,24,238
31217,8095,0,0,0,592,37156,6151,114,15,133,375,77,238
64093,5204,470,0,1128,426,136368,6395,643,72,495,264,83,239
27655,2355,50,128,244,0,91618,5931,33,15,195,67,23,242
50953,6314,412,175,409,277,118691,11381,578,100,245,279,43,242
43163,1441,929,226,405,250,99334,2940,574,173,182,209,44,242
31202,2091,544,190,543,0,72127,3219,624,70,491,79,43,243
34411,0,588,164,640,277,61514,2284,572,231,425,390,69,245
35669,16528,446,235,318,100,55872,25569,478,113,238,311,88,245
24063,463,501,160,450,220,70173,1689,407,190,412,237,33,248
3701,3550,0,228,135,131,19723,14102,94,120,0,66,15,248
2606,1538,0,253,361,107,7732,6596,20,214,274,110,22,250
33329,2763,85,134,310,70,87562,6675,323,83,222,130,34,250
78625,3731,654,267,168,292,146346,4842,488,137,314,241,78,252
49481,2670,1224,365,1026,253,107002,2821,698,174,437,275,69,252
11643,2152,320,63,304,185,29895,5682,502,112,88,250,36,258
8708,2466,68,16,429,1,23939,6321,76,73,305,110,30,261
19522,3225,0,0,0,97,20577,5465,186,15,82,490,74,263
4057,5515,140,272,297,0,11060,7786,280,192,158,0,32,265
7319,2586,1194,241,384,77,21337,6830,1114,222,207,60,25,265
16927,7223,487,166,358,137,21068,5761,376,118,175,142,78,266
29847,1478,248,149,217,0,66605,2435,416,76,153,13,39,266
51919,2121,921,84,867,234,89504,3212,497,185,449,288,94,267
44691,287,1157,300,238,0,76914,1171,1069,265,181,72,46,267
98405,3969,1828,240,714,317,121897,3946,1324,162,589,340,93,268
14879,1549,492,15,255,183,43186,4136,328,14,265,126,42,268
28476,2501,201,194,402,0,61291,6334,343,175,203,63,30,271
9642,2115,156,0,52,85,29493,5728,85,0,0,0,23,271
19492,1972,514,358,465,191,44993,4059,418,199,296,330,33,272
21403,1026,481,184,390,264,58988,2404,452,139,246,273,28,272
54613,1451,786,457,235,92,131708,2742,635,188,289,121,73,273
8862,1616,0,125,363,149,29495,5496,56,33,285,210,31,278
25350,6552,823,0,43,697,21771,8277,389,20,283,507,95,281
11522,3310,461,259,318,117,25905,6383,544,141,195,172,35,282
22358,3452,385,52,351,38,52678,7480,496,16,120,66,28,282
73221,601,755,105,312,201,140888,1583,914,79,397,498,42,282
12167,1303,164,157,340,219,47043,3917,160,85,123,275,25,283
36809,9715,1255,272,639,300,85891,15259,737,249,751,407,52,284
32110,9349,606,33,339,165,76571,16026,543,40,326,86,42,285
28031,6214,594,98,444,295,71015,10982,721,104,208,452,32,289
23292,6815,455,222,138,273,49006,11849,493,209,198,241,39,290
39431,1595,177,194,66,123,94393,2534,314,102,139,210,53,292
437673,96855,5216,1771,2572,2007,802717,138817,4616,1476,2044,1694,96,295
7485,2274,141,122,157,11,22217,5615,120,125,178,209,27,296
8561,3358,345,175,555,170,26963,7991,290,78,375,122,32,297
8651,3598,246,176,391,228,43027,11291,241,78,625,267,16,297
6261,1650,240,116,280,217,31755,5543,250,6,5,254,15,300
14596,1486,106,164,634,34,49017,3360,394,180,376,75,41,301
30565,13277,708,276,205,503,93080,25301,747,116,188,400,53,302
38573,3422,535,240,486,0,74098,4717,337,118,262,0,57,302
145583,74626,2985,1068,1710,913,246367,86618,1913,770,920,452,84,304
21683,4541,793,0,15,1,37799,7339,520,0,255,210,43,306
73900,1847,1259,3,814,64,116679,3786,1166,47,634,362,59,306
32195,588,585,217,598,59,73371,2488,634,168,363,161,42,307
5525,2812,0,111,468,328,17182,5948,78,111,607,273,27,308
49828,7973,585,445,751,0,120202,14331,421,290,492,464,47,310
29569,3632,0,15,99,85,49119,5164,107,0,200,51,53,310
35667,3335,421,104,0,434,59798,5244,456,150,12,299,53,310
29302,1270,841,137,295,349,71746,3664,747,69,135,325,34,310
39884,1225,513,216,322,0,73821,2188,387,183,246,192,61,311
3893,2344,155,237,103,170,15431,6833,112,201,0,240,17,311
53419,6639,443,113,166,25,138959,12769,343,187,120,66,35,313
45147,1052,1246,0,327,267,74426,2149,1190,38,362,480,78,316
28371,1186,730,237,78,138,59689,2554,483,212,0,192,42,316
48774,2431,464,273,483,0,117707,4390,382,177,316,236,44,316
124747,6742,931,373,531,0,249243,10651,722,218,424,372,88,318
25567,424,314,125,514,367,67607,1668,323,8,478,428,29,318
29326,8411,51,0,420,332,28782,5343,252,85,220,372,104,318
10458,1361,0,134,115,0,42868,4421,0,130,0,0,20,319
57375,1590,433,179,873,346,125072,3877,399,124,442,508,47,321
7151,2221,643,167,27,185,25966,6275,630,70,0,187,21,322
33441,3024,793,154,393,41,65313,5165,539,148,226,188,38,322
54632,5234,406,0,468,532,99210,7270,239,0,221,611,88,324
7396,3112,220,179,12,232,18749,8263,293,87,0,283,27,326
40103,1730,851,0,489,79,73461,2466,824,17,407,368,59,328
12181,2331,703,136,319,35,26455,5287,633,97,226,462,46,329
58426,3666,724,105,0,426,64186,2680,552,230,325,340,135,329
17985,2557,0,129,423,316,46849,4835,79,126,127,380,57,330
43007,9763,646,291,0,0,71595,12068,446,117,126,45,63,331
43864,4248,69,6,468,105,78809,6182,223,56,327,238,60,333
23994,20,810,0,520,417,87114,1269,731,0,320,354,29,335
76790,4423,570,326,1044,32,148083,5249,569,183,931,319,82,335
25150,755,273,126,139,146,63097,1617,404,55,78,147,40,336
6903,3642,0,139,261,23,14060,6820,0,62,101,145,42,336
23885,2617,369,287,400,101,57142,5056,278,195,228,247,40,338
24973,628,527,102,433,167,58899,2919,529,53,454,234,33,338
5434,3804,298,140,199,22,11548,7378,193,53,28,0,29,882
47614,1342,167,169,627,385,104541,2852,175,121,291,320,50,883
20841,1563,266,72,388,207,47159,3368,179,81,221,156,50,883
90969,5022,613,125,330,220,190708,9201,449,75,135,162,52,884
17836,10645,0,0,526,200,11338,7684,279,71,460,261,128,886
6961,2304,76,146,105,0,25854,6026,55,102,149,128,28,891
5965,4277,104,64,411,238,11497,6381,85,14,140,150,32,897
5576,3560,189,108,336,323,19235,9687,112,18,177,374,19,897
13732,1283,762,294,457,192,44872,3908,614,116,313,173,37,902
16120,4469,104,154,84,188,19776,5564,324,112,96,220,63,902
30010,1605,334,400,532,141,69413,3611,396,190,511,230,56,903
19851,3234,47,129,75,238,46031,5635,136,51,11,121,50,903
39229,9853,542,276,754,598,115129,18279,604,140,419,541,42,904
9035,3302,539,266,472,374,12670,6941,601,109,251,308,49,904
69546,5484,146,0,610,285,182971,9958,208,0,479,330,46,905
19046,4408,25,0,579,168,27836,5213,120,0,432,347,54,906
24026,890,427,223,412,173,60200,2704,437,148,396,159,29,907
45571,659,804,232,190,146,111540,2343,715,129,63,57,32,907
11505,2320,403,142,373,213,48411,6213,441,68,185,262,19,908
11943,5816,550,93,175,526,17355,17241,447,43,106,432,51,910
10573,872,221,24,225,164,49998,3482,526,0,8,36,18,911
14616,1751,0,291,3,304,41312,4103,141,241,0,365,34,912
26238,678,133,279,370,256,66275,2041,294,121,220,235,44,912
86434,13394,0,39,393,640,192180,21928,169,154,295,513,77,914
17033,1608,311,388,474,161,46496,4259,205,155,539,90,41,914
57483,4503,0,450,639,0,110454,6457,207,232,759,211,67,918
6251,3124,204,37,295,71,15743,6280,181,16,24,72,27,920
274359,42964,0,397,394,0,123968,16103,173,213,342,248,199,920
18207,5510,143,87,247,398,21209,5623,178,63,301,343,55,920
126112,30946,0,0,10,0,58758,10262,270,66,280,363,201,923
5974,3135,0,133,468,77,15039,6426,89,62,456,144,33,924
15169,2023,295,102,460,132,45763,4698,180,38,436,243,29,925
3777,3260,113,246,552,98,17896,8107,89,167,377,197,20,927
33615,6326,359,193,222,0,23525,5374,527,192,467,205,99,929
7252,2582,388,288,163,0,15203,5904,381,114,97,80,40,931
18145,2201,613,341,435,0,34258,5054,413,222,363,82,52,932
9288,3672,59,235,234,377,38404,9800,59,166,15,364,24,939
9681,3156,641,173,378,0,24173,5315,624,138,246,22,44,943
6810,4912,119,111,48,91,17056,7878,124,139,25,186,30,944
14426,1598,165,78,336,0,48564,3861,314,71,174,17,31,948
3865,2195,181,178,366,179,22091,15320,245,84,422,259,14,950
11234,5481,413,21,352,7,29328,9873,304,34,314,39,42,951
54059,2463,529,126,387,162,94199,3067,819,124,214,214,68,951
16558,7021,467,222,607,334,47980,13946,343,187,424,303,27,953
50383,7811,888,406,253,179,72934,7030,850,238,292,458,84,953
1482,4123,128,99,403,189,5504,10952,46,0,171,101,18,957
5015,12373,569,249,418,70,13121,17356,478,150,590,38,33,957
43608,3047,715,406,381,0,60018,3422,575,201,291,202,81,958
30488,1902,641,84,310,362,81682,3952,419,52,125,330,34,959
6703,1555,272,179,291,243,28969,5266,226,63,85,168,24,959
18758,7087,2,262,160,182,28377,9990,481,112,178,280,67,961
2964,2229,100,149,294,0,10836,6906,52,52,100,33,17,962
56201,1388,382,405,529,79,99693,1583,271,252,422,312,71,963
29761,848,279,122,898,55,63812,1990,171,91,535,205,42,971
28794,14754,663,154,232,258,64737,26943,599,64,196,426,33,972
58954,3654,65,110,82,132,115494,7406,174,24,92,152,43,973
31599,2023,433,300,216,292,80755,4175,252,286,354,251,35,975
34146,13550,465,606,625,367,74731,21156,295,309,329,204,74,975
584659,32402,323,0,829,0,1024712,52878,482,8,321,121,87,977
29791,1117,381,266,642,368,85193,2183,466,164,538,256,29,979
8669,2673,172,169,432,256,25620,6804,210,65,277,205,22,979
33992,12329,273,181,810,364,42265,15916,232,126,427,365,63,982
28620,2362,85,114,642,474,64565,3621,167,74,416,404,52,983
12734,3990,177,194,426,0,26729,6903,219,160,338,45,40,985
12856,11019,864,361,396,431,34388,22147,798,214,245,372,27,985
4645,2189,137,191,162,155,16440,5968,164,105,66,135,20,988
98759,4520,0,134,495,0,173647,4483,224,108,434,245,73,990
55985,4423,103,57,657,23,112644,8316,162,83,527,112,45,991
8482,3079,128,321,394,338,16247,6121,419,149,311,312,40,992
61069,4875,996,75,0,77,122363,8698,792,40,126,175,62,992
30114,559,705,181,492,282,69513,2298,890,108,439,525,35,993
17021,12183,1744,651,484,637,20041,20059,1059,265,393,308,85,995
29496,4163,357,291,40,528,42291,6164,478,183,21,357,62,997
24552,1878,26,198,381,0,55018,2965,290,95,199,246,48,999
32304,1000,706,318,436,0,75467,1498,498,148,261,0,53,1001
43042,3690,72,0,738,231,83006,6036,265,68,521,217,60,1002
3632,2466,195,318,241,0,13984,6824,311,290,50,166,18,1002
21848,821,399,202,825,246,54418,3036,294,60,468,123,38,1005
10136,5634,752,133,418,280,34205,14428,732,94,228,337,23,1005
36649,2963,1200,137,652,0,54749,4547,675,111,357,154,62,1005
246183,44595,0,810,339,0,98227,13627,506,263,291,238,236,1008
24072,13628,703,185,258,300,38361,20035,514,110,190,219,70,1010
27061,781,675,30,273,0,60240,1873,509,118,342,13,61,1010
40457,5244,708,166,699,332,87378,7278,434,151,263,391,44,1010
2485,2413,0,264,189,153,8185,16099,106,192,0,130,18,1013
22799,2150,681,157,138,131,50634,3449,858,86,141,162,37,1016
49256,39895,1562,801,484,0,93674,62412,1460,544,300,56,44,1019
49510,7000,879,176,795,65,88072,11242,574,112,507,209,47,1020
33537,4455,257,544,513,34,65414,6982,648,278,315,157,57,1026
73366,5021,254,483,471,0,160407,9121,439,322,343,48,58,1029
5938,3233,345,119,291,122,11812,6114,319,28,90,105,31,1029
47751,1571,699,193,577,0,98669,2694,645,85,301,107,43,1031
50540,1634,644,19,340,0,107541,2611,724,120,479,151,41,1033
52594,1342,561,108,333,122,111242,2446,581,116,310,94,65,1033
32537,142,714,208,352,323,69858,1316,622,161,145,195,37,1035
4313,1991,0,272,366,94,19677,7246,0,230,131,0,17,1035
101026,32588,1914,802,1617,395,154964,40612,1663,530,907,464,81,1035
96414,28670,5,445,280,606,165218,42860,273,224,331,296,85,1037
16396,4421,0,0,567,579,23224,6210,72,97,612,384,55,1037
1107551,151534,0,0,477,59,304657,40409,534,83,576,392,412,1039
17590,3735,353,272,537,86,34626,5148,296,122,232,157,66,1041
28456,1991,416,104,310,0,73179,3494,456,14,104,243,30,1042
217319,10820,201,305,259,38,369907,15356,227,184,183,185,90,1049
39632,3849,131,108,324,25,76149,6021,356,85,115,53,40,1052
18577,3128,215,270,334,31,42014,3885,265,167,393,138,56,1054
29218,7778,297,182,511,229,63587,11307,313,165,293,237,51,1055
37233,1648,461,318,364,185,87379,3550,223,203,104,234,49,1660
17135,3013,412,93,376,0,41447,4284,252,88,113,118,46,1662
19016,5983,365,355,19,416,30032,9848,658,259,92,252,69,1670
21177,7896,632,376,576,0,59649,17576,668,204,452,57,28,1672
485154,34849,3897,0,1712,240,42246,4050,423,197,344,413,1001,1673
2217,4140,209,278,361,23,8471,11560,219,241,134,27,20,1674
8062,1706,338,199,307,237,38546,5219,380,102,286,296,17,1676
25773,8240,551,627,0,116,20004,5732,310,212,184,148,96,1677
58178,5298,592,75,0,137,46986,3679,342,117,158,212,96,1677
1973,1363,39,139,205,4,10398,6725,0,13,0,0,14,1678
69771,0,736,256,441,23,175800,1840,904,260,458,40,43,1680
29261,23098,987,411,546,355,66021,41087,733,289,557,266,50,1681
59396,10655,697,15,694,28,85933,7062,867,31,555,240,100,1683
20554,2097,680,84,360,204,63582,6338,878,0,180,142,22,1689
30151,3177,79,0,679,304,65808,2947,307,33,562,328,73,1689
2557,1881,170,178,376,173,10609,7397,74,55,238,385,18,1690
63358,4891,0,102,516,31,165534,9901,18,71,443,63,39,1690
87011,19565,0,0,1302,255,51641,8328,184,269,586,256,158,1693
14240,4928,453,99,324,83,46178,9858,362,59,222,292,31,1693
33904,20828,866,190,652,210,66032,35559,789,87,400,165,37,1695
10906,5343,387,335,559,134,26364,10118,502,185,415,93,34,1696
16536,3584,255,226,546,158,38132,6169,393,120,314,326,51,1697
28884,1557,981,155,715,185,54511,3547,798,154,625,148,51,1697
33322,3820,343,143,339,0,91570,8710,313,76,102,63,27,1699
45155,9159,1311,291,156,544,72664,16227,1014,169,118,383,72,1700
35213,1666,653,370,399,0,75268,5283,744,203,456,0,42,1700
13103,3982,459,188,472,449,44702,6868,323,106,507,322,32,1701
47240,7555,788,261,991,382,125346,12930,624,159,571,325,42,1702
3891,1979,96,160,175,313,16674,6011,27,91,54,352,18,1704
5699,1873,23,133,84,79,24820,6330,49,59,0,38,18,1705
3419,2493,292,179,505,186,14016,9024,301,101,416,74,16,1706
23554,3491,149,152,661,144,58911,5916,351,150,430,301,46,1707
40653,46165,276,194,466,0,49379,51936,228,122,636,101,69,1711
43389,3677,0,346,202,443,80535,4940,35,195,256,311,95,1712
36102,8742,938,129,303,134,72515,15794,690,94,204,216,47,1720
41241,508,368,485,252,91,101474,1638,392,267,124,122,37,1723
